supplier_profile_id,account_id,name,certified,indigenous_marketplace,services_all_australia,states,annual_revenue,employees,ownership_structure,services
a1GOd000006yvPlMAI,001Od00000Hown6IAB,THREE BADOWER ROAD PTY LTD,Registered,No,No,"NSW, NT, QLD",$500K to $1M,2,Corporation (Pty Ltd),Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management
a1G2t000002TCgiEAG,0012t00000BSEMSAA5,NEXX Indigenous Services (Indigenous Corporation),Registered,No,No,"ACT, NSW",$500K to $1M,5,Aboriginal Corporation (Registered with ORIC),Interior design; Building maintenance & services; Commercial cleaning; Office furniture & fit out; Office furniture; Interior design; Building maintenance & services; Commercial cleaning; Office furniture & fit out; Office furniture
a1GOd000002I0MzMAK,001Od000002q6oIIAQ,INDIGENOUS MEDIA NT PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media
a1GOd0000075MQTMA2,001Od00000eADmdIAG,WhichWay Indigenous Corporation,Registered,No,No,"NSW, NT, QLD, WA",$50K to $500K,0,Aboriginal Corporation (Registered with ORIC),Employment & workplace programs; Governance training; Training & development; Administration services; Employment & workplace programs; Governance training; Training & development; Administration services; Employment & workplace programs; Governance training; Training & development; Administration services
a1G7F000000SllQUAS,0017F00000iviJiQAI,Ethan Indigenous,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,4,Incorporated Joint Venture,Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services; Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services; Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services
a1GOd00000751XJMAY,001Od00000e7XTLIA2,Passi Indigenous Consultancy,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation; Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation; Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation
a1G8w0000005s0UEAQ,0018w000004hbmDAAQ,BUILDING INDIGENOUS AUSTRALIA PTY LTD.,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,6,Corporation (Pty Ltd),Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping
a1GOd000005LbT7MAK,001Od00000MV13BIAT,MTP INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,2,Incorporated Joint Venture,Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment; Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment; Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment
a1G7F0000002GafUAE,0017F00000ivcZtQAI,Arrilla Indigenous Consulting Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,8,Corporation (Pty Ltd),Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation
a1GOd000006llMbMAI,001Od00000eviq6IAA,INDIGENOUS CORE AUSTRALIA PTY LTD,Registered,No,No,NSW,$0 to $50K,2,Corporation (Pty Ltd),Indigenous labour hire; Indigenous labour hire
a1GOd000004BvThMAK,001Od00000Q2BejIAF,IPATSA PTY LTD Indigenous Pathways & Training Solutions Australia,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,3,Corporation (Pty Ltd),Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training
a1G7F000000SlimUAC,0017F00000ivcIjQAI,Indigenous Professional Services Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,53,Corporation (Pty Ltd),Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation
a1GOd000006YNuoMAG,001Od00000e2X7LIAU,Indigenous Business Growth Pty Ltd,Registered,No,No,"ACT, NSW, VIC, QLD",$0 to $50K,3,Corporation (Pty Ltd),Recruitment; Recruitment; Recruitment; Recruitment
a1GOd000006TQwXMAW,001Od00000Z02fBIAR,ARMSTRONG INDIGENOUS PROPERTY GROUP PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture
a1GOd0000049tHVMAY,001Od00000Ph5rCIAR,INDIGENOUS VIBE KOLLECTIVE,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),Graphic design; Branded apparel and clothing; Clothing design; Graphic design; Branded apparel and clothing; Clothing design
a1GOd000006A86aMAC,001Od00000b4KMFIA2,WATTLE INDIGENOUS SUPPLY PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,5,Corporation (Pty Ltd),Access equipment & platforms; Access equipment hire; Access equipment & platforms; Access equipment hire; Access equipment & platforms; Access equipment hire
a1GOd000005pAIoMAM,001Od00000bsVzNIAU,RED ROPE INDIGENOUS ACCESS SOLUTIONS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,3,Corporation (Pty Ltd),Corrosion control and industrial coatings; Access equipment & platforms; Lifting & rigging & height safety apparatus; Corrosion control and industrial coatings; Safety & rescue services; Corrosion control and industrial coatings; Access equipment & platforms; Lifting & rigging & height safety apparatus; Corrosion control and industrial coatings; Safety & rescue services; Access equipment & platforms; Lifting & rigging & height safety apparatus; Corrosion control and industrial coatings; Safety & rescue services; Corrosion control and industrial coatings; Access equipment & platforms; Lifting & rigging & height safety apparatus; Corrosion control and industrial coatings; Safety & rescue services
a1G7F000002eK29UAE,0017F000025QYwBQAW,Indigenous Technology Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,5,Corporation (Pty Ltd),Computer hardware; Computer software; Cyber security; IT & ICT services; IT project management; Computer hardware; Computer software; Cyber security; IT & ICT services; IT project management
a1G7F000000SpVhUAK,0017F00000ivcEmQAI,Capital Workplace Indigenous Corporation,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Aboriginal Corporation (Registered with ORIC),
a1G2t000000fNVAEA2,0012t000006XWHeAAO,DIMEO INDIGENOUS PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Incorporated Joint Venture,Carpet cleaning & floor polishing; Cleaning services & equipment; Commercial cleaning; Janitorial & cleaning products; Window cleaning
a1GOd0000045DrxMAE,001Od00000MBMyLIAX,MALLEE INDIGENOUS PLUMBING & BUILDING PTY LTD,Registered,No,No,"NSW, VIC",$1M to $5M,6,Corporation (Pty Ltd),Carpentry & joinery services; Plumbing maintenance supplies & services; Roofing services; Project management; Carpentry & joinery services; Plumbing maintenance supplies & services; Roofing services; Sewer & drain maintenance & rehabilitation; Carpentry & joinery services; Plumbing maintenance supplies & services; Roofing services; Project management; Carpentry & joinery services; Plumbing maintenance supplies & services; Roofing services; Sewer & drain maintenance & rehabilitation
a1G7F000000SliiUAC,0017F00000ivcIbQAI,Kamberra Indigenous Cleaning Pty Ltd,Registered,No,No,ACT,Over $10M,122,Corporation (Pty Ltd),Carpet cleaning & floor polishing; Commercial cleaning; Litter & rubbish removal; Street sweeping services; Window cleaning; Carpet cleaning & floor polishing; Commercial cleaning; Litter & rubbish removal; Street sweeping services; Window cleaning
a1GOd000005YCcQMAW,0017F00001lbagZQAQ,NATIONAL INDIGENOUS WORKFORCE SOLUTIONS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,30,Corporation (Pty Ltd),Employment & workplace programs; Leadership development & coaching; Training & development; Training delivery & facilitation; Vocational education & training; Employment & workplace programs; Leadership development & coaching; Training & development; Training delivery & facilitation; Vocational education & training
a1GOd000005Wz3tMAC,001Od00000ZgoIpIAJ,MUNA INDIGENOUS ACCOUNTING PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),Accounting & audit; Bookkeeping; Financial services; Accounting & audit; Bookkeeping; Financial services; Accounting & audit; Bookkeeping; Financial services
a1GOd000005WgZ7MAK,001Od00000PIjY9IAL,ANCHORAM INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Incorporated Joint Venture,Risk management; Accounting & audit; Cyber security; IT & ICT services; Data security; Risk management; Accounting & audit; Cyber security; IT & ICT services; Data security
a1G8w00000053ZsEAI,0018w0000030JrhAAE,SUNRISE SERVICES INDIGENOUS PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Landscaping; Pest control; Landscaping; Pest control; Commercial cleaning; Pressure cleaning; Window cleaning; Landscaping; Pest control; Commercial cleaning; Pressure cleaning; Window cleaning; Landscaping; Pest control; Landscaping; Pest control; Commercial cleaning; Pressure cleaning; Window cleaning
a1GOd000005RHEnMAO,001Od00000Ywb2GIAR,EJL INDIGENOUS GROUP PTY LTD,Registered,No,No,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,3,Corporation (Pty Ltd),Arborists & tree services; Civil construction; Sidewalk construction and repair service; Civil construction; General construction; Sidewalk construction and repair service; Building maintenance & services; Arborists & tree services; Civil construction; Sidewalk construction and repair service; Civil construction; General construction; Sidewalk construction and repair service; Building maintenance & services; Arborists & tree services; Civil construction; Sidewalk construction and repair service; Civil construction; General construction; Sidewalk construction and repair service; Building maintenance & services
a1G7F000000SlXcUAK,0017F00000ivi9fQAA,Indigenous Beverages Australia Pty Ltd,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,20,Corporation (Pty Ltd),Coffee & tea; Drinks & beverages; Fresh fruit & vegetables; Bottled water; Coffee machinery & maintenance services; Coffee & tea; Drinks & beverages; Fresh fruit & vegetables; Bottled water; Coffee machinery & maintenance services
a1GOd000005OZY1MAO,001Od00000YHPzJIAX,SDC Group Concrete Construction Indigenous Corporation,Registered,No,No,QLD,$50K to $500K,23,Aboriginal Corporation (Registered with ORIC),Concreting; Concreting; Concreting; Concreting
a1GOd000005K1zZMAS,001Od00000XoT7GIAV,Cultural Ground Indigenous Corporation,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,6,Aboriginal Corporation (Registered with ORIC),Human resources development
a1GOd000005HVMHMA4,001Od00000XbfxGIAR,ICC INDIGENOUS CONSTRUCTION PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),General construction; General construction
a1G2t000000eot9EAA,0012t000005cirTAAQ,ACCESS INDIGENOUS PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Incorporated Joint Venture,Access equipment hire; Elevated work platforms hire; Forklifts hire; Generators hire; Access equipment purchase; Access equipment hire; Elevated work platforms hire; Forklifts hire; Generators hire; Access equipment purchase
a1GOd000005CMujMAG,001Od00000V6N8DIAV,SOLO INDIGENOUS SOLUTIONS PTY LTD,Registered,No,No,NSW,$0 to $50K,0,Corporation (Pty Ltd),Facilities management services; Pest control; Facilities management services; Pest control; Commercial cleaning; Gutter cleaning (buildings); Hygiene services; Facilities management services; Pest control; Commercial cleaning; Gutter cleaning (buildings); Hygiene services; Facilities management services; Pest control; Facilities management services; Pest control; Commercial cleaning; Gutter cleaning (buildings); Hygiene services
a1G7F000000Slc3UAC,0017F00000ivcbjQAA,INDIGENOUS ALLIED HEALTH AUSTRALIA LTD,Registered,No,Yes,,$50K to $500K,10,Not-for-Profit (NFP),Indigenous & Aboriginal support services & programs; Adult & community education programs; Leadership development & coaching; Training delivery & facilitation; Indigenous & Aboriginal support services & programs; Adult & community education programs; Leadership development & coaching; Training delivery & facilitation; Indigenous & Aboriginal support services & programs; Adult & community education programs; Leadership development & coaching; Training delivery & facilitation
a1G7F000000Slb2UAC,0017F00000ivcOrQAI,ARA Indigenous Services Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,265,Corporation (Pty Ltd),Air conditioning maintenance & services; Electrical services; Air conditioning maintenance & services; Commercial cleaning; Fire systems; Security & cctv systems & maintenance
a1GOd000004898fMAA,001Od00000P4jEyIAJ,PERITUS INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,3,Corporation (Pty Ltd),Employment & workplace programs; Indigenous labour hire; Labour hire; Payroll & HRMIS services; Recruitment
a1G2t000000eyxGEAQ,0012t000005b60UAAQ,VOYAGES INDIGENOUS TOURISM AUSTRALIA PTY LTD (Supplier),Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,692,Corporation (Pty Ltd),Adult & community education programs; Restaurant; Accommodation & conference facilities; Cultural tours; Tourism
a1GOd000004rzizMAA,001Od00000VC3tDIAT,KIRRA INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),Training & development; Audio visual equipment; Computer hardware; Computer software; Labour hire; Training & development; Audio visual equipment; Computer hardware; Computer software; Labour hire
a1G8w0000004SVGEA2,0018w000002a2wyAAA,CITY BUILDING INDIGENOUS CORPORATION,Certified,No,No,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,19,Aboriginal Corporation (Registered with ORIC),Air conditioner installation (commercial and domestic); Air conditioning maintenance & services; Building management and controls services; Fire equipment & maintenance services; Air conditioner installation (commercial and domestic); Air conditioning maintenance & services; Building management and controls services; Fire equipment & maintenance services; Mechanical services & installation; Air conditioner installation (commercial and domestic); Air conditioning maintenance & services; Building management and controls services; Fire equipment & maintenance services; Mechanical services & installation
a1G7F000002eWysUAE,0017F000027pBmyQAE,INDIGENOUS SUPPLY AUSTRALIA PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,2,Corporation (Pty Ltd),Structural formwork; Structural formwork; Manufacturing services; Bore & well drilling services; Mining services; Removal & relocation services; Structural formwork; Structural formwork; Manufacturing services; Bore & well drilling services; Mining services; Removal & relocation services
a1GOd000004ccIEMAY,001Od00000Pw6YZIAZ,First Nations Indigenous Corporation,Registered,No,No,"ACT, NSW",$0 to $50K,0,Aboriginal Corporation (Registered with ORIC),Civil construction; Commercial or industrial construction; Construction operations; Civil construction; Commercial or industrial construction; Construction operations; General construction; Waste collection & disposal; Civil construction; Commercial or industrial construction; Construction operations; Civil construction; Commercial or industrial construction; Construction operations; General construction; Waste collection & disposal
a1GOd000004bwY7MAI,001Od00000QaXQ4IAN,SCS INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,3,Incorporated Joint Venture,Commercial pest control; Facilities management services; Commercial pest control; Facilities management services; Commercial cleaning; Grounds maintenance; Industrial cleaning
a1G7F000000SlZKUA0,0017F00000ivcQ2QAI,Australian Indigenous Business Services Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$5M to $10M,60,Corporation (Pty Ltd),Building construction materials & services; Civil construction; Commercial or industrial construction; Construction operations; Other civil construction materials & services; Building construction materials & services; Civil construction; Commercial or industrial construction; Construction operations; Other civil construction materials & services; Building construction materials & services; Civil construction; Commercial or industrial construction; Construction operations; Other civil construction materials & services; Building construction materials & services; Civil construction; Commercial or industrial construction; Construction operations; Other civil construction materials & services
a1GOd000004ShfdMAC,001Od00000TAg8XIAT,GILA INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,4,Corporation (Pty Ltd),Modular homes & cabins & huts; Prefabricated buildings; General construction; Modular homes & cabins & huts; Building maintenance & services; Modular homes & cabins & huts; Prefabricated buildings; General construction; Modular homes & cabins & huts; Building maintenance & services; Prefabricated buildings; General construction; Modular homes & cabins & huts; Building maintenance & services; Modular homes & cabins & huts; Prefabricated buildings; General construction; Modular homes & cabins & huts; Building maintenance & services
a1GOd000004QwCXMA0,0012t000004qVajAAE,J INDIGENOUS DESIGNS,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Clothing design; Swimwear
a1GOd000004QmzZMAS,001Od00000Sn87ZIAR,NORTH POINT INDIGENOUS SERVICES PTY LTD,Registered,No,No,,$1M to $5M,6,Corporation (Pty Ltd),Mechanical plant equipment; Mechanical services & installation; Vehicle mechanical repairs; Mechanical plant equipment; Mechanical services & installation; Vehicle mechanical repairs
a1GOd000003BrDlMAK,001Od00000Cat2NIAR,Toffcorp Indigenous Corporation,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Aboriginal Corporation (Registered with ORIC),Computer hardware; Computer supplies; Internet services; Telecommunication services
a1G2t000002TIlAEAW,0012t00000BSKGYAA5,INDIGENOUS CULTURAL CONNECTIONS PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Community engagement & consultation services; Management consulting & consultants; Policy review and evaluation; Cultural awareness training; Cultural competence training and programs; Community engagement & consultation services; Management consulting & consultants; Policy review and evaluation; Cultural awareness training; Cultural competence training and programs
a1G2t000000ezZAEAY,0012t000007YRgDAAW,360 INDIGENOUS SERVICES PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Labour hire; Recruitment; Temporary personnel services
a1G8w0000005fDREAY,0018w000004c9khAAA,Saltwater Country Services Pty Ltd,Certified,No,No,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Corporation (Pty Ltd),Transportable & demountable buildings; Metal fabrication & welding; Deployable gym; Gym containers; Outdoor exercise equipment; Transportable & demountable buildings; Metal fabrication & welding; Deployable gym; Gym containers; Outdoor exercise equipment; Transportable & demountable buildings; Metal fabrication & welding; Deployable gym; Gym containers; Outdoor exercise equipment; Transportable & demountable buildings; Metal fabrication & welding; Deployable gym; Gym containers; Outdoor exercise equipment
a1G7F000002eabYUAQ,0017F00002B2PsOQAV,INDIGENOUS CONSULTING GROUP PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,15,Corporation (Pty Ltd),Business & strategic planning services; Cultural awareness training; Leadership development & coaching; Training & development; Training delivery & facilitation; Business & strategic planning services; Cultural awareness training; Leadership development & coaching; Training & development; Training delivery & facilitation
a1GOd000004MhATMA0,001Od00000AzhaGIAR,INDIGENOUS SIGN COMPANY PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Incorporated Joint Venture,Advertising: print; Printing services; Council signage; Digital signage; Other signage & sign writing; Advertising: print; Printing services; Council signage; Digital signage; Other signage & sign writing
a1GOd000003dbM9MAI,001Od00000JMYBNIA5,Malla Clothing - Indigenous Apparel,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,0,Sole Trader,Branded apparel and clothing; Clothing design; Protective clothing; Branded apparel and clothing; Clothing design; Protective clothing; Branded apparel and clothing; Clothing design; Protective clothing
a1G7F0000002KgVUAU,0017F00000ivcJ5QAI,Winya Indigenous Office  Furniture PTY LTD,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,23,Corporation (Pty Ltd),Office furniture & fit out; Accommodation furniture; Cabinets & lockers; Office furniture; Soft furnishings; Office furniture & fit out; Accommodation furniture; Cabinets & lockers; Office furniture; Soft furnishings
a1GOd000004Lz9RMAS,001Od00000JHaXAIA1,INDIGENOUS FLOORING PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Flooring installation; Floor coverings; Vinyl flooring; Flooring installation; Flooring installation; Floor coverings; Vinyl flooring; Flooring installation
a1GOd000002cQoLMAU,001Od000008EmLLIA0,TLS Indigenous Consultancy,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Training & development
a1GOd000004KYWHMA4,001Od00000QxTrvIAF,Australian Indigenous Labour Hire,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,38,Corporation (Pty Ltd),Human resources development; Indigenous labour hire; Labour hire; Recruitment; Human resources development; Indigenous labour hire; Labour hire; Recruitment
a1G7F000000SlmEUAS,0017F00000ivcJ6QAI,Gamarada Universal Indigenous Resources Pty Ltd,Certified,No,No,"ACT, SA, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Corporation (Pty Ltd),"Crime & justice services; Indigenous & Aboriginal support services & programs; Training & development; Health research, surveys & evaluation; Mental health services; Crime & justice services; Indigenous & Aboriginal support services & programs; Training & development; Health research, surveys & evaluation; Mental health services; Crime & justice services; Indigenous & Aboriginal support services & programs; Training & development; Health research, surveys & evaluation; Mental health services"
a1G7F000002g1BoUAI,0017F00001xK1VQQA0,AUSTRALIAN INDIGENOUS GRASSTREES & WILDFLOWERS,Registered,No,No,QLD,$50K to $500K,4,Partnership,Landscaping services & supplies; Floral arrangements & bouquets; Florist & floristry; Flowers & gifts; Gift personalisation services
a1GOd000004IOJJMA4,001Od00000QjvnyIAB,ATAC Indigenous Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,10,Incorporated Joint Venture,Building repair services; Commercial or industrial construction; Commercial or industrial construction; General construction; Building maintenance & services; Building repair services; Building repair services; Commercial or industrial construction; Commercial or industrial construction; General construction; Building maintenance & services; Building repair services
a1GOd000004EZOcMAO,001Od00000QaOWIIA3,CUBE4 INDIGENOUS,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),Facilities management services; Facilities management services
a1GOd000004FQKrMAO,001Od00000QgilmIAB,INDIGENOUS TECHNICAL SUPPLY AND SERVICES PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,2,Corporation (Pty Ltd),Inspection & testing & calibration services; Inspection & testing & calibration services; Measuring & observing & testing equipment; Testing equipment; Pipes & valves & fittings; Inspection & testing & calibration services; Inspection & testing & calibration services; Measuring & observing & testing equipment; Testing equipment; Pipes & valves & fittings; Inspection & testing & calibration services; Measuring & observing & testing equipment; Testing equipment; Pipes & valves & fittings
a1G2t000000eQK9EAM,0017F00001lc5zzQAA,INDIGENOUS COMMERCIAL CORPORATION PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,65,Incorporated Joint Venture,Commercial cleaning
a1GOd000004FEI5MAO,001Od00000KDdGEIA1,CITY INDIGENOUS SUPPLIES PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,5,Corporation (Pty Ltd),"Catering equipment installation, repairs and maintenance; Catering equipment installation, repairs and maintenance; Janitorial & cleaning products; Catering supplies; Catering equipment"
a1GOd000004ElKwMAK,001Od00000QY2IIIA1,Yarnu Indigenous Corporation,Registered,No,No,WA,$0 to $50K,1,Aboriginal Corporation (Registered with ORIC),Building repair services; Carpentry & joinery services; Bridge construction & maintenance; Re-roof old to new metal; Bridge construction & maintenance; General construction; Building maintenance & services; Building repair services; Carpentry & joinery services; Building repair services; Carpentry & joinery services; Bridge construction & maintenance; Re-roof old to new metal; Bridge construction & maintenance; General construction; Building maintenance & services; Building repair services; Carpentry & joinery services
a1G7F000000SlWLUA0,0017F00000ivcWlQAI,Moonks Indigenous Art on Furniture,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Sole Trader,Accommodation furniture; Classroom furniture; Library furniture; Office furniture; Soft furnishings; Accommodation furniture; Classroom furniture; Library furniture; Office furniture; Soft furnishings
a1GOd000004D8lRMAS,001Od00000QFdroIAD,ADAPT MENTORSHIP INDIGENOUS CORPORATION PTY LTD,Registered,No,No,,$50K to $500K,1,Aboriginal Corporation (Registered with ORIC),Crime & justice services; Indigenous & Aboriginal support services & programs; Community and business development; Community engagement & consultation services; Mentoring and coaching; Crime & justice services; Indigenous & Aboriginal support services & programs; Community and business development; Community engagement & consultation services; Mentoring and coaching
a1GOd0000048r01MAA,001Od00000OPymLIAT,INDIGENOUS GROUP PTY LTD,Registered,No,No,"ACT, NSW, VIC",$50K to $500K,2,Corporation (Pty Ltd),Painting supplies & services; Building construction materials & services; Building construction materials & services; Painting supplies & services; Painting supplies & services; Building construction materials & services; Building construction materials & services; Painting supplies & services
a1GOd0000047SenMAE,001Od00000OoIgxIAF,RALPH FELIX INDIGENOUS PTY LTD,Registered,No,No,"ACT, NSW",$50K to $500K,2,Corporation (Pty Ltd),Paintings; Painting supplies & services; Painting supplies & services; Paintings; Painting supplies & services; Painting supplies & services
