supplier_profile_id,account_id,name,certified,indigenous_marketplace,services_all_australia,states,annual_revenue,employees,ownership_structure,services
a1G8w0000004VQgEAM,0018w000002axOwAAI,Kabi Kabi Peoples Aboriginal Corporation,Registered,No,No,,$50K to $500K,3,Aboriginal Corporation (Registered with ORIC),Cultural awareness training; Cultural competence training and programs; Environmental & heritage services; Cultural events services; Cultural tours; Cultural awareness training; Cultural competence training and programs; Environmental & heritage services; Cultural events services; Cultural tours
a1G8w0000004R9DEAU,0018w000002VTd9AAG,STRONG SPIRIT ABORIGINAL SERVICES PTY LTD,Certified,No,No,NSW,$50K to $500K,2,Corporation (Pty Ltd),Business & strategic planning services; Community and business development; Management consulting & consultants; Cultural awareness training; Cultural competence training and programs; Business & strategic planning services; Community and business development; Management consulting & consultants; Cultural awareness training; Cultural competence training and programs
a1G7F000000SllsUAC,0017F00000iviKAQAY,Nyuka Wara Consulting Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Cultural awareness training; Cultural competence training and programs; RAP implementation and assistance; Training & development; Cultural awareness training; Cultural competence training and programs; RAP implementation and assistance; Training & development
a1G7F000002g869UAA,0017F00002R7HidQAF,KIMBERLEY ABORIGINAL LAW AND CULTURE CENTRE ABORIGINAL CORPORATION,Registered,No,No,,$1M to $5M,7,Aboriginal Corporation (Registered with ORIC),Dance performances; Performing arts; Crime & justice services; Remote & regional development programs; Youth services; Dance performances; Performing arts; Crime & justice services; Remote & regional development programs; Youth services
a1G7F000002ed7MUAQ,0017F00002MuHjBQAV,R.C Associates Pty Ltd,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Alcohol & drug treatment services; Management consulting & consultants; Project management; Training delivery & facilitation; Property management services; Alcohol & drug treatment services; Management consulting & consultants; Project management; Training delivery & facilitation; Property management services; Alcohol & drug treatment services; Management consulting & consultants; Project management; Training delivery & facilitation; Property management services
a1G7F000002fXTEUA2,0017F00001rLFsNQAW,The Trustee for We Care NSW Trust,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,70,Trust,Disability support services; Adult & community education programs; Medical centre operation & management; Mental health services; Disability support services; Adult & community education programs; Medical centre operation & management; Mental health services; Disability support services; Adult & community education programs; Medical centre operation & management; Mental health services; Disability support services; Adult & community education programs; Medical centre operation & management; Mental health services
a1G7F000002eTQmUAM,0017F000024uUvqQAE,Lawrence Moser,Registered,No,No,"ACT, SA, NSW, VIC",$50K to $500K,1,Sole Trader,Civil construction; Civil construction; Traffic management & control services; Cultural awareness training; Environmental & heritage services; Heritage advisory services; Civil construction; Civil construction; Traffic management & control services; Cultural awareness training; Environmental & heritage services; Heritage advisory services; Civil construction; Traffic management & control services; Cultural awareness training; Environmental & heritage services; Heritage advisory services
a1G7F000002eTaHUAU,0017F00002629k0QAA,Together Business Australia Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),New business and start up consultation; Taxation advice; Accounting & audit; Bookkeeping; Budget preparation or review services; New business and start up consultation; Taxation advice; Accounting & audit; Bookkeeping; Budget preparation or review services
a1G7F000000SqA1UAK,0017F00000oYrG9QAK,Mirriyu Cultural Consulting,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Cultural awareness training; RAP implementation and assistance; Training & development; Mental health services; Cultural tours; Cultural awareness training; RAP implementation and assistance; Training & development; Mental health services; Cultural tours
a1G7F000001ha02UAA,0017F00001k4LHlQAM,Burbirra Group Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Counselling services; Management consulting & consultants; Cultural awareness training; Leadership development & coaching; Training delivery & facilitation; Counselling services; Management consulting & consultants; Cultural awareness training; Leadership development & coaching; Training delivery & facilitation
a1G7F000002e2SPUAY,0017F000022AlqMQAS,Black Wattle Professional Services,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Sole Trader,Management consulting & consultants; Cultural competence training and programs; Monitoring & evaluation; RAP implementation and assistance; Recruitment; Management consulting & consultants; Cultural competence training and programs; Monitoring & evaluation; RAP implementation and assistance; Recruitment
a1G7F000001hZzsUAE,0017F00001zxysJQAQ,Lana Leslie Consulting,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Community and business development; Management consulting & consultants; Project management; RAP implementation and assistance; Training delivery & facilitation; Community and business development; Management consulting & consultants; Project management; RAP implementation and assistance; Training delivery & facilitation
a1G7F000001hWnLUAU,0017F0000211Au8QAE,DHIIRA PTY LTD,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Employment & workplace programs; Business & strategic planning services; Policy review and evaluation; Training delivery & facilitation; Human resources development; Employment & workplace programs; Business & strategic planning services; Policy review and evaluation; Training delivery & facilitation; Human resources development; Employment & workplace programs; Business & strategic planning services; Policy review and evaluation; Training delivery & facilitation; Human resources development
a1G7F000002eW9LUAU,0017F00001ulnc3QAA,Brisbane Support Service Information Tool,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Accommodation & homelessness support services; Community & social services; Counselling services; Disability support services; Recording & transcription; Accommodation & homelessness support services; Community & social services; Counselling services; Disability support services; Recording & transcription
a1G7F000000SlceUAC,0017F00000ivcQkQAI,Inception Strategies,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Trust,Advertising agency services; Video production & editing services; Supply chain training & management; Training delivery & facilitation; Advertising agency services; Video production & editing services; Supply chain training & management; Training delivery & facilitation
a1G7F000000SlikUAC,0017F00000ivcIhQAI,Keogh Bay People Pty Ltd,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,6,Corporation (Pty Ltd),Business & strategic planning services; Community and business development; New business and start up consultation; elearning services & solution; Leadership development & coaching; Business & strategic planning services; Community and business development; New business and start up consultation; elearning services & solution; Leadership development & coaching
a1G7F000000SleMUAS,0017F00000ivcPHQAY,Birrang Enterprise Development Co Ltd,Registered,No,No,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$5M to $10M,91,Not-for-Profit (NFP),Community & social services; Disability support services; Adult & community education programs; Vocational education & training; Vehicle driving schools services; Community & social services; Disability support services; Adult & community education programs; Vocational education & training; Vehicle driving schools services
a1G7F000000NtjbUAC,0017F00001aoCZIQA2,Brian Stevens Consultancy,Registered,Yes,No,,$50K to $500K,1,Sole Trader,Governance training; New business and start up consultation; Cultural awareness training; Leadership development & coaching; Training & development; Governance training; New business and start up consultation; Cultural awareness training; Leadership development & coaching; Training & development
a1G7F0000002K5rUAE,0017F00001GoOksQAF,Black Stump Resources Pty Ltd,Certified,No,No,WA,$500K to $1M,3,Corporation (Pty Ltd),Concreting; Fencing; Building construction materials & services; Civil construction; Building construction materials & services; Civil construction; Traffic management & control equipment; Concreting; Fencing; Concreting; Fencing; Building construction materials & services; Civil construction; Building construction materials & services; Civil construction; Traffic management & control equipment; Concreting; Fencing; Concreting; Fencing; Building construction materials & services; Civil construction; Traffic management & control equipment; Concreting; Fencing
a1G7F000001RNQlUAO,0017F00001amVw8QAE,Kullarri Enterprises Pty Ltd,Registered,Yes,No,,$500K to $1M,15,Corporation (Pty Ltd),Remote & regional development programs; Youth services; Mentoring and coaching; Building maintenance & services; Labour hire; Remote & regional development programs; Youth services; Mentoring and coaching; Building maintenance & services; Labour hire
a1G7F000001RPTEUA4,0017F00001pNS4hQAG,Cultural Grounding,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Social research; Content development & instructional design; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation; Social research; Content development & instructional design; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation
a1G7F000000NuThUAK,0017F00001XoSmBQAV,ESPERANCE TJALTJRAAK SERVICES PTY LTD,Registered,No,No,WA,$500K to $1M,15,Corporation (Pty Ltd),Bush regeneration; Pesticide & herbicide spraying; Weed control & management; Heritage advisory services; Site remediation; Bush regeneration; Pesticide & herbicide spraying; Weed control & management; Heritage advisory services; Site remediation; Bush regeneration; Pesticide & herbicide spraying; Weed control & management; Heritage advisory services; Site remediation
a1G7F0000003DVQUA2,0017F000017zVOjQAM,Visual Dreaming Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Corporation (Pty Ltd),Advertising: internet; Geotechnical services; Cultural events services; Internet services; Technical equipment; Advertising: internet; Geotechnical services; Cultural events services; Internet services; Technical equipment; Advertising: internet; Geotechnical services; Cultural events services; Internet services; Technical equipment
a1G7F0000002szjUAA,0017F00000wCi3MQAS,The Trustee for R & R Burke Family Trust,Registered,No,No,"ACT, NSW, QLD",$50K to $500K,2,Corporation (Pty Ltd),Employment & workplace programs; Unemployment services; Cultural awareness training; Mentoring and coaching; Training & development; Employment & workplace programs; Unemployment services; Cultural awareness training; Mentoring and coaching; Training & development; Employment & workplace programs; Unemployment services; Cultural awareness training; Mentoring and coaching; Training & development
