source,name,state,postcode,website,sectors
qsec,"Wheelnutz Garage",QLD,4131,,""
qsec,"Whitsunday Community Services Inc",QLD,4802,,""
qsec,"WV Technologies",ACT,2609,,""
qsec,"Yoga on the Inside",QLD,4107,,""
qsec,"Young Change Agents Ltd",NSW,2046,,""
senvic,"(Think) Enough",VIC,3158,https://www.thinkenough.com/,""
senvic,"#GoKindly",VIC,3058,https://www.gokindly.com.au/,""
senvic,"100 Coffee Movement",VIC,3142,,""
senvic,"100 Mile Foodie",VIC,,,""
senvic,"100 Story Building",VIC,3011,https://www.100storybuilding.org.au,"Arts and culture; Education and training"
senvic,"A Fitting Connection",VIC,3088,https://afittingconnection.com.au/,"education and training; festivals and events; community & cultural development"
senvic,"A Pot of Courage",VIC,3350,https://www.apotofcourage.com.au,""
senvic,"AAA Adventure holidays",VIC,3698,,""
senvic,"Ability Works Australia",VIC,3101,https://www.abilityworks.com.au/,"Business services; Employment; Manufacturing; Packaging; distribution and storage"
senvic,"AbilityMade",VIC,3002,https://www.abilitymade.com/,""
senvic,"Aboriginal Housing Victoria Ltd",VIC,3350,https://www.ahvic.org.au,""
senvic,"Access Australia Group",VIC,3550,https://aag.org.au,"Catering; cafe; restaurant; bar; baker; Education and training; Employment; Festivals and events; Food and beverage products; Gardening; landscaping; fencing; Social Enterprise Groups; Tourism"
senvic,"ACE Gear Bags",VIC,,,""
senvic,"ACSO",VIC,3400,,""
senvic,"ActionSkills",VIC,3971,,"IT and web design; Media and communications"
senvic,"AgBiz Assist Ltd",VIC,3690,http://www.agbizassist.org.au,""
senvic,"Agency 357",VIC,,,"business services"
senvic,"Alepp Project",VIC,,,""
senvic,"Alisoun Neville Expressive Arts Therapy",VIC,3072,https://www.alisounneville.com.au/,""
senvic,"All Things Equal",VIC,3183,https://www.allthingsequal.com.au,"Catering; cafe; restaurant; bar; baker; Education and training; Employment"
senvic,"Anika Legal",VIC,3000,https://www.anikalegal.com/,"Education and training; Legal services"
senvic,"Anne Pang Self Defence",VIC,3142,,"Arts and culture; Community & Cultural Development; Education and training; Personal and social care; Sports and recreation"
senvic,"Anz",VIC,,,""
senvic,"Apple FM",VIC,3340,https://www.radioau.net,""
senvic,"Ararat & District U3A",VIC,3377,https://www.radioau.net,""
senvic,"Ararat Gardening Service Pinacle Inc",VIC,3377,https://www.Pinnacleinc.com.au,""
senvic,"Ararat Laundromat",VIC,3377,,""
senvic,"Ararat Live Inc",VIC,3377,,""
senvic,"Ararat Show Society Inc",VIC,3377,https://www.araratshow.com.au,""
senvic,"Arctic 90",VIC,,,""
senvic,"are-able",VIC,3280,https://www.areable.org.au/,"employment"
senvic,"AroundAgain",VIC,3500,,""
senvic,"Art Is Festival",VIC,3400,https://www.artiswimmera.com,""
senvic,"Art Resource Collective",VIC,3869,http://arc.org.au,""
senvic,"Arts Centre Melbourne",VIC,3004,,""
senvic,"Asanti",VIC,3925,http://www.asanti.com.au,"Clothing and personal accessories; Personal and social care"
senvic,"ASAP Events",VIC,,,"Festivals and events"
senvic,"ASRC Catering",VIC,3068,https://www.catering.asrc.org.au/,"Catering; cafe; restaurant; bar; baker"
senvic,"ASRC Cleaning",VIC,3011,https://www.cleaning.asrc.org.au/,"Cleaning; housekeeping & laundry services"
senvic,"Assembled Threads",VIC,3121,https://www.assembledthreads.com/,""
senvic,"Asylum Seeker Resource Centre",VIC,3011,,"Catering; cafe; restaurant; bar; baker; Cleaning; housekeeping & laundry services"
senvic,"Attwood House Community Centre",VIC,3049,http://attwoodhouse.org.au,""
senvic,"Australia Post",VIC,3000,,""
senvic,"Australian Centre for Rural Entrepreneurship",VIC,3747,http://www.acre.org.au,"Business services; Community & Cultural Development; Impact and evaluation; Social Enterprise Groups"
senvic,"Australian College Of Applied Psychology",VIC,3000,,""
senvic,"Australian Conservation Foundation",VIC,3053,,""
senvic,"Australian South Asian Centre",VIC,3125,https://australiansouthasiancentre.com/shop-online/,"Arts and culture"
senvic,"Australian Spatial Analytics",VIC,3121,https://www.asanalytics.com.au/,"Business services"
senvic,"Australian Unity Home Care",VIC,3350,https://www.australianunity.com.au,""
senvic,"Avoca District Co-operative Limited",VIC,3467,https://www.bendigobank.com.au/branch/vic/community-bank-avoca/,""
senvic,"Awakening Leadership",NSW,2483,http://www.yollana.com,""
senvic,"Aware Programs",VIC,3690,,""
senvic,"Awareaway",VIC,,,""
senvic,"AXIS Employment Ararat",VIC,3377,https://www.caei.com.au,""
senvic,"AXIS Employment Ballarat",VIC,3377,https://www.caei.com.au,""
senvic,"AXIS Employment Stawell",VIC,3380,https://www.caei.com.au,""
senvic,"AXIS Employment Wendouree West",VIC,3380,https://www.caei.com.au,""
senvic,"AXIS Worx",VIC,3400,https://www.caei.com.au,""
senvic,"B Lab Australia and New Zealand",VIC,3000,http://www.bcorporation.com.au,""
senvic,"B-Alternative",VIC,3198,https://www.b-alternative.com/,"Arts and culture; Business services; Environmental services; Festivals and events; Food and beverage products; Packaging; distribution and storage; Recycling and waste management"
senvic,"Bacchus Marsh Arts Council Inc",VIC,3340,https://www.bmaci.org.au,""
senvic,"Bacchus Marsh Community Enterprise Ltd ( Bendigo bank )",VIC,3340,https://www.bendigobank.com.au,""
senvic,"Bacchus Marsh Hospital Ladies Auxillary Op Shop",VIC,3340,,""
senvic,"Bacchus Marsh Pharmacy",VIC,3340,https://www.ufs.com.au,""
senvic,"Bacchus Marsh Salvos",VIC,3340,https://www.salvosstores.com.au,""
senvic,"Bacchus Marsh U3A Inc",VIC,3340,https://www.u3aonline.org.au,""
senvic,"Back to Back Theatre",VIC,3220,https://backtobacktheatre.com/,""
senvic,"Backyard Beekeeping Ballarat",VIC,3350,https://backyardbeesballarat.com.au/,""
senvic,"Balla Balla Community Centre",VIC,3977,https://www.ballaballa.com.au,""
senvic,"Ballan Farmers' Market",VIC,3342,https://www.ballanchamberofcommerce.com.au,""
senvic,"Ballan Pharmacy",VIC,3342,https://www.ufs.com.au,""
senvic,"Ballarat & District Trotting Club",VIC,3350,https://www.ballarattrottingclub.com.au,""
senvic,"Ballarat Agricultural & Pastoral Society Inc",VIC,3353,https://www.ballaratshow.org.au,""
senvic,"Ballarat Bargain Browser Ballarat",VIC,3350,,""
senvic,"Ballarat Bargain Browser Wendouree",VIC,3355,,""
senvic,"Ballarat Bridge Mall Farmers Market",VIC,3350,,""
senvic,"Ballarat Community Church Op Shop",VIC,3350,,""
senvic,"Ballarat Community FM Radio Co-operative Ltd",VIC,3350,https://www.voicefm.com.au,""
senvic,"Ballarat East Neighbourhood House",VIC,3354,,""
senvic,"Ballarat Farmers Market",VIC,3355,,""
senvic,"Ballarat Golf Club",VIC,3350,https://www.ballaratgolfclub.com.au,""
senvic,"Ballarat Lakeside Farmers Market",VIC,3350,,""
senvic,"Ballarat Leagues Club",VIC,3350,https://www.ballaratleaguesclub.com.au,""
senvic,"Ballarat Neighbourhood Centre Inc",VIC,3356,https://www.ballaratnc.org.au/our-kitchen.php,""
senvic,"Ballarat Red Cross",VIC,3350,https://www.redcross.org.au/support-us/red-cross-shops,""
senvic,"Ballarat Regional Industries Ballarat",VIC,3355,,""
senvic,"Ballarat Regional Industries Foundation Limited",VIC,3355,,""
senvic,"Ballarat Regional Industries Sebastopol",VIC,3356,,""
senvic,"Ballarat Symphony Orchestra",VIC,3355,,""
senvic,"Ballarat Wholefoods Collective",VIC,3350,http://ballaratwholefoodscollective.org,""
senvic,"Bank Australia",VIC,3350,,""
senvic,"Bannockburn College YMCA Before/After School Program",VIC,3331,,""
senvic,"Banyule City Council",VIC,3088,http://www.banyule.vic.gov.au,""
senvic,"Baptcare Sanctuary",VIC,3072,https://www.baptcare.org.au/services/housing/accommodation-for-people-seeking-asylum,""
senvic,"Barapa Land & Water",VIC,3556,,""
senvic,"Basic Income Australia Ltd",VIC,,,""
senvic,"Beaufort & District Op Shop",VIC,3373,,""
senvic,"Beaufort Community Financial Services Ltd",VIC,3373,https://www.bendigobank.com.au,""
senvic,"Beaufort Op Shop",VIC,3373,,""
senvic,"Beaufort Pharmacy",VIC,3373,https://www.ufs.com.au,""
senvic,"Belgium Avenue Neighbourhood House",VIC,3121,,""
senvic,"Benalla Rural City Council",VIC,3672,,""
senvic,"Benevolence Financial Group",VIC,3000,https://www.bfgloans.com.au,""
senvic,"Better Life Mobile",VIC,3192,http://betterlifemobile.com.au,""
senvic,"Beyond Bank",VIC,3090,,""
senvic,"Beyond Blue",VIC,3056,,""
senvic,"Beyond Essential Systems",VIC,3051,https://www.bes.au/,"IT and web design"
senvic,"BGT Jobs and Training",VIC,3350,https://www.bgt.org.au,""
senvic,"Big Little Brush",VIC,3977,https://www.biglittlebrush.org,""
senvic,"Big Little Stories",VIC,3135,http://www.biglittlestories.org.au,"Arts and culture"
senvic,"Billabong Garden Complex",VIC,,,""
senvic,"Birss Ministries",VIC,3020,,""
senvic,"Black Duck Foods",VIC,3891,https://www.blackduckfoods.com.au/,""
senvic,"Blaze Your Trail",VIC,3183,,"Business services; Education and training; IT and web design; Impact and evaluation; Media and communications"
senvic,"Blissful Love Photography",NSW,2640,https://blissfullovephotography.com.au/,""
senvic,"Bond Street Event Centre",VIC,3850,https://www.bondstreeteventcentre.com/,""
senvic,"Boots for All",VIC,3088,https://www.bootsforall.org.au/,"Clothing and personal accessories; Education and training; Employment; Mental health and wellbeing; Opportunity shops and secondhand shops; Recycling and waste management; Social Enterprise Groups; Sports and recreation"
senvic,"Bourke And Bouteloup Architects Pty Ltd",VIC,3205,https://bourke-bouteloup-architects.com.au/,""
senvic,"BRACE Education & Training",VIC,3350,,""
senvic,"Brambuk Living Cultural Centre Co-op Ltd",VIC,3381,https://www.brambuk.com.au,""
senvic,"BREAZE INC - BREAZE Energy Solutions",VIC,3350,,""
senvic,"Bridge Darebin",VIC,3072,https://bridgedarebin.org.au/,"Catering; cafe; restaurant; bar; baker; Community & Cultural Development; Education and training; Food and beverage products; Mental health and wellbeing; Packaging; distribution and storage; Social Enterprise Groups"
senvic,"Bridge Mall Pharmacy",VIC,3350,https://www.ufs.com.au,""
senvic,"Bridge Mall Salvos",VIC,3350,https://www.salvosstores.com.au,""
senvic,"Bridging Us",VIC,3025,http://www.bridgingus.com.au,""
senvic,"Bright Coworking",VIC,3741,,""
senvic,"Brotherhood Of St Laurence - Given the Chance - Employment with Social Impact",VIC,3065,https://giventhechance.bsl.org.au/,"Business services; Community & Cultural Development; Education and training; Employment; Impact and evaluation; Policy and research"
senvic,"Brotherhood of St Lawrence",VIC,3072,,""
senvic,"Brown Hill Community Newsletter",VIC,3354,https://www.brownhill.vic.au/newsletter/,"Community & Cultural Development; Media and communications; Printing and publishing"
senvic,"BT Novo",VIC,3892,,""
senvic,"Budja Budja Aboriginal Co-operative Ltd",VIC,3381,,""
senvic,"Buninyong & District Financial Services Ltd",VIC,3357,https://www.bendigobank.com.au,""
senvic,"Buninyong Golf Club",VIC,3357,,""
senvic,"Buninyong Good Life Festival",VIC,3357,https://www.buninyongfestival.com.au,""
senvic,"Buninyong Pharmacy",VIC,3357,https://www.ufs.com.au,""
senvic,"Bureau Of Meteorology",VIC,3000,,""
senvic,"Business Brains Australia",VIC,3922,,""
senvic,"Buttons Support Services",VIC,3162,https://www.buttonsservices.com/,""
senvic,"C4Impact",VIC,3875,https://www.c4impact.com.au,""
senvic,"Cacti Conserve",VIC,3156,,"Building and maintenance trades; Manufacturing; Packaging; distribution and storage"
senvic,"Cafe 123",VIC,3850,https://www.facebook.com/123CafeSale/,""
senvic,"Cambodian Kids Can",VIC,,,""
senvic,"Campaspe Shire Council",VIC,3564,,""
senvic,"Campus Consultancy",VIC,3182,https://www.campusconsultancy.org/,""
senvic,"Canadian Place Common Equity Housing Co-operative Ltd",VIC,3350,https://www.acnc.gov.au,""
senvic,"Canopy Accelerator Co-operative Limited",VIC,3030,,"Agriculture; Education and training; Environmental services; Gardening; landscaping; fencing; Mental health and wellbeing; Social Enterprise Groups"
senvic,"Capacity International",VIC,3124,http://capacityinternational.com,""
senvic,"Care Career Pty Ltd",VIC,3163,https://carecareer.com.au/,""
senvic,"Career Transformation Ventures",VIC,3000,https://www.careertransformationventures.com,"Education and training; Employment"
senvic,"CareerSeeker",VIC,3184,https://www.careerseekers.org.au/,""
senvic,"Carpetworld",VIC,,,""
senvic,"Catalysr",VIC,3000,https://catalysr.com.au/,"Community & Cultural Development; Education and training; Employment"
senvic,"CC - Ararat Community Enterprise",VIC,3377,https://www.araratcommunityenterprise.org.au,""
senvic,"CC - Bannockburn Community Enterprise ( Bendigo Bank)",VIC,3331,https://www.bendigobank.com.au,""
senvic,"CE - Warracknabeal Action Group",VIC,3393,,""
senvic,"Central Highlands Group Training Inc",VIC,3350,https://www.bgt.org.au,""
senvic,"Centre for Multicultural Youth",VIC,3350,https://www.cmy.net.au,""
senvic,"Centre for Participation",VIC,3400,https://centreforparticipation.org.au/,""
senvic,"Centre for Social Impact - Social Startup Studio",VIC,3122,https://www.socialstartupstudio.com.au/,""
senvic,"Centres for Craft, Creativity and Culture",VIC,3364,,"Arts and culture"
senvic,"CERES Fair Food",VIC,3072,https://www.ceresfairfood.org.au,"Food and beverage products"
senvic,"CERES Fair Wood",VIC,3072,https://www.ceresfairwood.org.au,"Building and maintenance trades; Gardening; landscaping; fencing"
senvic,"CERES Grocery",VIC,3057,,"Food and beverage products"
senvic,"CERES Merri Cafe",VIC,3057,,"Catering; cafe; restaurant; bar; baker"
senvic,"CERES Nursery",VIC,3057,,"Gardening; landscaping; fencing"
senvic,"CERES Propagation",VIC,,,""
senvic,"Change Coffee",VIC,3130,https://www.changecoffee.com.au,"Food and beverage products"
senvic,"Changemakers' Lab Pty Ltd",VIC,3056,https://changemakerslab.com.au,"Business services; Education and training; Impact and evaluation"
senvic,"Cherished Pet Care",VIC,,,""
senvic,"ChillOut Festival",VIC,3460,https://www.chilloutfestival.com.au,"Arts and culture"
senvic,"Chit Chat Coffee Cart Project",VIC,3840,https://www.latrobe.vic.gov.au/Coffee_Cart_at_Moe_Library,""
senvic,"Christie Centre Inc.",VIC,3500,https://christiecentre.com.au/,"Agriculture; Education and training; Employment; Food and beverage products; Mental health and wellbeing; Opportunity shops and secondhand shops; Personal and social care; Recycling and waste management; Social Enterprise Groups"
senvic,"CIRCLE ALLIANCE BANK",VIC,3023,http://www.circle.com.au,""
senvic,"City Of Ballarat",VIC,3350,,""
senvic,"City of Whittlesea",VIC,3752,https://www.whittlesea.vic.gov.au/,""
senvic,"City Of Yarra",VIC,3068,,""
senvic,"City U",VIC,,,""
senvic,"City University In Canada",VIC,,,""
senvic,"City University Of Seattle",VIC,,,""
senvic,"Clann Australia Pty Ltd",VIC,3215,https://clann.com.au,""
senvic,"Clean Force",VIC,3072,https://www.cleanforce.com.au,""
senvic,"Cleanable Property Maintenance Services",VIC,3011,https://www.cleanable.com.au/,"Cleaning; housekeeping & laundry services"
senvic,"Clear Cut Terang",VIC,3264,https://www.wdeaworks.org.au/ndis-social-enterprises/clear-cut,"Gardening; landscaping; fencing"
senvic,"Climate Hug",VIC,3810,https://climatehug.com/,"Education and training"
senvic,"Climate Resource",VIC,3065,https://www.climate-resource.com/,"environmental services"
senvic,"Clothing the Gaps - Brunswick",VIC,,https://www.clothingthegaps.com.au,"Arts and culture; Clothing and personal accessories; Community & Cultural Development; Education and training; Employment"
senvic,"Clunes Neighbourhood House",VIC,3370,https://www.clunesnh.org,""
senvic,"Co-Labs Melbourne",VIC,3056,http://www.colabs.melbourne,""
senvic,"Code for Australia",VIC,3065,https://codeforaustralia.org,""
senvic,"Coffee for Change",VIC,3000,,"Catering; cafe; restaurant; bar; baker"
senvic,"CoHoots Coworking",VIC,3450,https://www.cohoots.info,""
senvic,"Cohuna Neighbourhood House",VIC,3568,https://www.cnh.org.au/,""
senvic,"Collective Impact Loop",VIC,3058,,""
senvic,"College of Education and Training Geelong",VIC,3321,https://www.encompass-cs.org.au,""
senvic,"Collingwood & Friends Feed",VIC,3066,http://www.toasta.com.au/community-meals,""
senvic,"Collingwood Children's Farm",VIC,3067,,""
senvic,"Collingwood Toy Library",VIC,3067,https://www.collingwoodtoylibrary.net.au/,"Community & Cultural Development"
senvic,"Common Ground Project",VIC,3217,https://www.commongroundproject.com.au/,"Agriculture; Catering; cafe; restaurant; bar; baker; Education and training; Employment"
senvic,"Common Rooms - Melbourne Fringe",VIC,3006,,""
senvic,"Common Times Ltd",VIC,3960,https://commontimes.com.au/,""
senvic,"Commonsight",WA,6122,http://www.commonsight.co,"education and training; business services"
senvic,"Commonwealth Bank",VIC,3067,,""
senvic,"Community Housing Ltd",VIC,3350,,""
senvic,"Community Living & Respite Services",VIC,3564,https://www.clrs.org.au,"Clothing and personal accessories; Food and beverage products"
senvic,"Complex Behaviour Change",VIC,3451,https://www.cbchange.org/,""
senvic,"Concern Australia - fiXit Social Enterprise",VIC,3019,,"Bicycle and vehicle sales and repair"
senvic,"Connect the Plots",VIC,3960,https://www.facebook.com/profile.php?id=100068776714473,""
senvic,"ConnectGV",VIC,3630,https://connectgv.com.au,"Gardening; landscaping; fencing"
senvic,"Connecting 2 Communities",VIC,3810,https://www.connecting2communities.com.au,"Community & Cultural Development; Education and training; Packaging; distribution and storage"
senvic,"Connecting2Ability",VIC,3199,,"agriculture; environmental services"
senvic,"Connecting2Australia Bellfield",VIC,,,""
senvic,"Connecting2Australia Bendigo",VIC,3550,,"Employment"
senvic,"Connecting2Australia Brunswick",VIC,,,""
senvic,"Connecting2Australia Mildura",VIC,3500,,"Social Enterprise Groups"
senvic,"Connecting2Australia Seaford",VIC,,,""
senvic,"Connecting2Australia Thomastown",VIC,,,""
senvic,"Connecting2Australia Wonthaggi",VIC,3995,,"Employment"
senvic,"Conscious Combat Club",VIC,3205,,"Mental health and wellbeing; Sports and recreation"
senvic,"Consent Cleaning",VIC,,,"cleaning; housekeeping & laundry services"
senvic,"Conservation Ecology Centre",VIC,3233,https://www.conservationecologycentre.org/,""
senvic,"Conservation Management",VIC,3058,https://www.conservationmanagement.com.au,""
senvic,"Corryong Neighbourhood Centre",VIC,3707,,""
senvic,"CQU",VIC,,,""
senvic,"Cquniversity",QLD,4017,,""
senvic,"Crashendo Bairnsdale!",VIC,3875,https://www.crashendo-eg.org.au/,""
senvic,"Creative Community Space",VIC,3088,https://creativecommunityspace.com.au/,"arts and culture"
senvic,"Crepes for Change",VIC,3004,,"Catering; cafe; restaurant; bar; baker; Festivals and events; Food and beverage products"
senvic,"Creswick & District Financial Services Ltd",VIC,3363,,""
senvic,"Creswick and Dictrict U3A Inc",VIC,3363,http://creswicku3a.com,""
senvic,"Creswick Neighbourhood Centre",VIC,3363,https://creswicknc.org.au/,""
senvic,"CrimCheck",VIC,3171,https://www.crimcheck.org.au/,"Business services; Employment"
senvic,"CRSE Group",VIC,3820,https://www.crsegroup.com,"Business services; Community & Cultural Development; Education and training; Employment; Impact and evaluation"
senvic,"CSI Swinburne",VIC,3122,https://www.swinburne.edu.au/research/social-impact/,""
senvic,"Cue Divergent Pty Ltd",VIC,3132,https://www.cuedivergent.org/,""
senvic,"Cultivating Community",VIC,3121,https://www.cultivatingcommunity.org.au,"Agriculture; Catering; cafe; restaurant; bar; baker; Community & Cultural Development; Education and training; Employment; Food and beverage products; Gardening; landscaping; fencing; Mental health and wellbeing"
senvic,"Cultura",VIC,3214,https://www.cultura.org.au/,""
senvic,"Cultural Catering Social Enterprise",VIC,3121,https://www.culturalcatering.org.au/,"Catering; cafe; restaurant; bar; baker"
senvic,"Culture Cure",VIC,3142,https://www.culture-cure.com/,""
senvic,"Curate Space",VIC,3000,,""
senvic,"Darebin City Council",VIC,3072,http://www.darebin.vic.gov.au/,""
senvic,"Day seven Australia",VIC,3058,https://www.dayseven.com.au/,""
senvic,"Daylesford Community Cinema",VIC,3460,https://www.daylesfordcinema.org.au/,""
senvic,"Daylesford Community Op Shop",VIC,3460,,""
senvic,"Daylesford District Community Developments Ltd",VIC,3460,,""
senvic,"Daylesford Neighbourhood Centre",VIC,3460,https://dncentre.org.au/index.php,""
senvic,"Daylesford Region Ceramics Co-op Ltd",VIC,3460,https://www.cemi.com.au,""
senvic,"Deadly Sports Plus Aboriginal Corporation",VIC,3129,,""
senvic,"Deadly Wears",VIC,3875,http://www.deadlywears.com.au,"Clothing and personal accessories"
senvic,"Deans Marsh Community Cottage",VIC,3235,https://deansmarsh.org.au,""
senvic,"DEAR DYSLEXIC",VIC,3055,https://www.deardyslexic.com/,""
senvic,"Delacombe Pharmacy",VIC,3356,https://www.ufs.com.au,""
senvic,"Department of Jobs, Precincts and Regions",VIC,3000,http://djpr.vic.gov.au/,""
senvic,"Diet to Save Earth",VIC,3000,https://bit.ly/DTSELI,""
senvic,"Different Journeys",VIC,3134,https://www.differentjourneysautism.com,"personal and social care"
senvic,"Digital Video Vault",VIC,3218,,""
senvic,"Dimboola & District Financial Services Ltd",VIC,3414,https://www.bendigobank.com.au,""
senvic,"Dinidae",VIC,3182,,""
senvic,"Djambana Catering",VIC,3199,https://www.djambana.org.au/catering/,"Catering; cafe; restaurant; bar; baker"
senvic,"DJPR",VIC,,,""
senvic,"DNA PATHWAYS PTY LTD",NSW,2482,https://dnapathways.io/,""
senvic,"Doing Something Good",VIC,3000,,""
senvic,"DoughingNuts",VIC,,,""
senvic,"Dovetail Social Enterprises",VIC,3205,https://www.dovetailsocialenterprises.com.au/,"Business services; Impact and evaluation"
senvic,"Doveton Street Pharmacy",VIC,3350,https://www.ufs.com.au,""
senvic,"driverED",VIC,3076,https://www.whittleseacommunityconnections.org.au/community-enterprises/drivered-2/,"Employment; Social Enterprise Groups"
senvic,"Dsc",VIC,3067,https://teamdsc.com.au/,""
senvic,"Dumu",VIC,3741,https://www.dumubalconycafe.com,"Catering; cafe; restaurant; bar; baker"
senvic,"Dunmunkle U3A",VIC,3390,https://www.u3aonline.org.au,""
senvic,"E-Worx",VIC,3318,https://www.caei.com.au,""
senvic,"E.C. Op Shop",VIC,3355,https://www.facebook.com/EcOpShop/,""
senvic,"Eagle Eye Guards & Services Pty Ltd",VIC,3056,https://eagleeyeguards.com.au/,"Cleaning; housekeeping & laundry services"
senvic,"Eaglehawk UFS Dispensary",VIC,3556,https://www.eufs.com.au/,""
senvic,"Eagles Corner",VIC,3552,https://eaglescorner.org/,"Business services; Community & Cultural Development; Education and training; Mental health and wellbeing; Personal and social care; Sports and recreation"
senvic,"Earlvention",VIC,,,""
senvic,"Easy Tech Living",VIC,3350,,""
senvic,"Eat Me Chutneys",VIC,3056,,""
senvic,"Ebony Harrison",VIC,3182,,""
senvic,"Ebos Group",VIC,3008,,""
senvic,"Ebos Group Limited",VIC,3008,,""
senvic,"Edenhope & District Financial Services Ltd",VIC,3318,https://www.bendigobank.com.au,""
senvic,"Edenhope Anglican Church Op Shop",VIC,3318,,""
senvic,"Edenhope P&A Society Inc",VIC,3318,,""
senvic,"Elato Ice Cream",VIC,,,""
senvic,"Elato Ice Cream Apollo Bay Foodworks",VIC,3233,,""
senvic,"Elato Pty Ltd",VIC,3000,https://www.elato.com.au,"food and beverage products"
senvic,"Elbow Community Building",VIC,3862,,""
senvic,"enable",VIC,3047,https://www.enableaustralia.org.au/,"employment"
senvic,"Enable Social Enterprises Limited t/as In the Click",VIC,3047,https://www.enableaustralia.org.au,"Business services; Education and training; Environmental services; Opportunity shops and secondhand shops; Packaging; distribution and storage; Recycling and waste management"
senvic,"Endangered Animals Australia",VIC,3941,https://endangeredanimalsaustralia.com.au/,"Manufacturing"
senvic,"Enso",VIC,3066,https://www.ensorefugeeconnect.com/,""
senvic,"Enterprise Learning Projects",VIC,,http://elp.org.au,""
senvic,"Ernst & Young",VIC,3149,,""
senvic,"Ethan Indigneous",VIC,3000,,"IT and web design"
senvic,"EthicalJobs.com.au",VIC,3070,https://www.EthicalJobs.com.au,""
senvic,"Etiko Pty Ltd",VIC,3155,https://etiko.com.au/,""
senvic,"Fabric of Humanity",VIC,3228,https://fabricofhumanity.com/,""
senvic,"Family Life",VIC,3191,https://www.familylife.com.au/,""
senvic,"Family Safety Victoria",VIC,3350,,""
senvic,"Farmwell",VIC,,,""
senvic,"Fawkner Food Bowls Inc.",VIC,3060,https://fawknerfoodbowls.com/,""
senvic,"Festival of St Arnaud",VIC,3478,https://www.starnaudfestival.com.au,""
senvic,"Fieri Consulting Pty Ltd",VIC,3031,,""
senvic,"Financial Literacy Australia",VIC,3400,https://www.flaus.com.au/,"finance and insurance"
senvic,"Financial Resilience Australia",VIC,3006,https://financialresilience.com.au/,""
senvic,"Firekeepers Incorporated",VIC,3127,https://www.firekeepers.com.au,""
senvic,"First Person Consulting Pty Ltd",VIC,3000,https://www.fpconsulting.com.au,""
senvic,"First State Super",VIC,3350,,""
senvic,"Fitted for Work",VIC,3000,https://fittedforwork.org/,""
senvic,"Flash Drive Beyond the Classroom",VIC,3350,,""
senvic,"Flinders University",VIC,3220,,""
senvic,"FLOAT",VIC,3909,http://www.float3909.com,""
senvic,"Flourish After Fifty",VIC,3071,http://flourishafter50.com.au/,"Community & Cultural Development"
senvic,"Flow Outdoors",VIC,3058,,""
senvic,"Flower Power",VIC,,,""
