source,name,state,postcode,website,sectors
qsec,"Ability Enterprises",QLD,4350,,""
qsec,"Animal Instincts Australia",QLD,4354,,""
qsec,"Aqua Ubique",QLD,4575,,""
qsec,"Australian Spatial Analytics",QLD,4006,,""
qsec,"Australian Urban Growers",QLD,4034,,""
qsec,"Avodah Global Pty Ltd",QLD,4006,,""
qsec,"Bama Facilities Maintenance Pty Ltd",QLD,4870,,""
qsec,"Better Merch",QLD,4006,,""
qsec,"Bloom Cycle",QLD,4173,,""
qsec,"Brandkind",NSW,2000,,""
qsec,"Brick and Block Careers",QLD,4000,,""
qsec,"Bush Clinicians Group",QLD,4557,,""
qsec,"Central Highlands Healthcare",QLD,4720,,""
qsec,"Champion Life Education",QLD,4006,,""
qsec,"CHRRUP Limited",QLD,4720,,""
qsec,"Elevate Residential",QLD,4000,,""
qsec,"Empathy First Pty Ltd",QLD,4054,,""
qsec,"Enablen Pty Ltd",QLD,4812,,""
qsec,"everyBody eBikes",QLD,4051,,""
qsec,"Foodbank Queensland",QLD,4170,,""
qsec,"Fruit2Work",QLD,4108,,""
qsec,"Future Anything Pty Ltd",QLD,4005,,""
qsec,"Give Industries",QLD,4170,,""
qsec,"Green Fox Studio",QLD,4107,,""
qsec,"Happy Paws Happy Hearts Ltd",QLD,4076,,""
qsec,"Hope Street Cafe",QLD,4101,,""
qsec,"Institute for Healthy Communities Australia Limited",QLD,4066,,""
qsec,"Lagoon Creek Cafe",QLD,4510,,""
qsec,"Learn Grow Become",QLD,4702,,""
qsec,"Little Change Creators",QLD,4170,,""
qsec,"Lovewell Cafe",QLD,4122,,""
qsec,"Marhaba Cafe",QLD,4000,,""
qsec,"Mob Box Containers",QLD,4280,,""
qsec,"Natura Pacific Pty Ltd",QLD,4220,,""
qsec,"Neighbours Aid Ltd",QLD,4560,,""
qsec,"Nundah Community Enterprises Co-op",QLD,4012,,""
qsec,"People Power Services Ltd",QLD,4064,,""
qsec,"People With Purpose Pty Ltd",QLD,4068,,""
qsec,"Possums (NDC Institute Pty Ltd)",QLD,4068,,""
qsec,"Social Scaffolding",QLD,4069,,""
qsec,"Spotscreen Pty Ltd",WA,6018,,""
qsec,"Spouse Force",QLD,4055,,""
qsec,"Stirling & Truffles",QLD,4352,,""
qsec,"Strong Communities",QLD,4680,,""
qsec,"The Neurodiverse Safe Work Initiative",QLD,4019,,""
qsec,"TradeMutt Pty Ltd",QLD,4076,,""
qsec,"Untapped Customer",QLD,4127,,""
qsec,"Vanguard Laundry",QLD,4350,,""
