phase,id,name,abn,evidence
3a,03c92834-b419-49e9-978d-a7fea7420998,"Sister Project",28283277131,"norm-exact-graph"
3a,0ff2931e-ff40-4e69-b361-8fc68e4f5610,"Queer and Diverse Pathways",15681025169,"norm-exact-graph"
3a,8dd26028-0aae-43c0-a152-c0432c6e6566,"Sam s Spares",35454206488,"norm-exact-graph"
3a,c3e8d152-fd95-4b2e-b89e-deefcc117d16,"Green Skills",68989519966,"norm-exact-graph"
3a,d5df5495-c4d7-4d9b-aa14-28d264ba2d17,"Westcare",72662454226,"norm-exact-graph"
3a,b8856c06-fc5a-452f-a8e4-70459a0c2ceb,"Tender Funerals Perth",38635700033,"norm-exact-graph"
3a,59ab6d56-ddce-44bb-bdf2-15d015dfe48a,"Reach Her Inc",43201903895,"norm-exact-graph"
3a,a3b02d21-8426-4721-ae66-8795ecf29c32,"Enitiate",56737001165,"norm-exact-graph"
3a,ca8f547c-9350-4bab-922f-63eb022581f9,"St Patrick s Community Support Centre",74116106275,"norm-exact-graph"
3a,606cf954-073c-453c-8e83-985dfe5ccc48,"Capital Community Radio Inc",84705840024,"norm-exact-graph"
3a,23f1e89d-c235-419f-89a0-4b1eb2a8c55a,"Hello Initiative",13153199578,"norm-exact-graph"
3a,e92cf74e-a218-492d-9cda-ff40498bfa22,"Perth City Farm",90364009655,"norm-exact-graph"
3a,2d658a3f-2b64-440c-997f-34d217b267b3,"Mens Talk",44647686100,"norm-exact-graph"
3a,4e65a6fb-f5ae-438c-9c94-92ed6932d8bc,"The Behaviour Change Collaborative",54157706646,"norm-exact-graph"
3a,dc856df0-e22c-4d8e-b6e4-8d2888de32d7,"Reboot Australia",43078720699,"norm-exact-graph"
3a,6c1be91d-bc9f-44ca-af52-b63955dbdb4c,"The Cariad Project Inc.",19384041765,"norm-exact-graph"
3a,972e1313-966b-4318-bea7-e3a147473c6a,"Chris’ Kitchen",61603887083,"norm-exact-graph"
3a,8575f68e-a840-4d87-a07c-9c0eb6d4212d,"Enterprise Partnerships WA",79629863001,"norm-exact-graph"
