name,kind,state,place,confidence,abn,gs_id,why
"Ri-con Contractors Pty Ltd","builder","NT","Tennant Creek","check","16098030098","AU-ABN-16098030098","1 exact-name records, none in NT"
"Northern Transportables Pty Ltd","builder","NT","All Centres","high","22009636882","AU-ABN-22009636882","one exact-name record, same state"
"Power Projects (NT) Pty Ltd","builder","NT","Katherine","none","","","no exact name in gs_entities"
"Downer Edi Works Pty Ltd","builder","NT","Tennant Creek Region","none","","","no exact name in gs_entities"
"Rusca Developments Pty Ltd","builder","NT","Darwin Region","high","83628012573","AU-ABN-83628012573","one exact-name record, same state"
"Hitachi  Data Systems Australia Pty Ltd","builder","NT","Darwin","none","","","no exact name in gs_entities"
"KG Kimlin Pty Ltd","builder","NT","Alice Springs","high","16608008091","AU-ABN-16608008091","one exact-name record, same state"
"Parkmore Investments Pty Limited","builder","NT","Repairs and Maintenance of Chi","none","","","no exact name in gs_entities"
"AUS Projects NT (Pty Ltd)","builder","NT","Northern Region","none","","","no exact name in gs_entities"
"NJ Homes (NT) Pty Ltd","builder","NT","Katherine Region","high","52160335811","AU-ABN-52160335811","one exact-name record, same state"
"Far Northern Contractors Pty Ltd","builder","NT","Barkly Region","high","51007858684","AU-ABN-51007858684","one exact-name record, same state"
"Ingkerreke Commercial Pty Ltd as Trustee for the Ingkerreke Operational Trust","builder","NT","Barkly Region","none","","","no exact name in gs_entities"
"F & J BItumen Services Pty Ltd","builder","NT","Katherine Region","none","","","no exact name in gs_entities"
"Precision Group Pty Ltd as trustee for the C Kantros Family Trust","builder","NT","Greater Darwin Region","none","","","no exact name in gs_entities"
"Auskron Pty Ltd","builder","NT","Royal Darwin Hospital and Palm","high","77644236420","AU-ABN-77644236420","one exact-name record, same state"
"Ribshire Pty Ltd","builder","NT","East Arnhem Region","none","","","no exact name in gs_entities"
"S&R Building & Construction Pty Ltd","builder","NT","Central Australia Region","none","","","no exact name in gs_entities"
"Cairns Industries Pty Ltd","builder","NT","Big Rivers Region","high","54120694484","AU-ABN-54120694484","one exact-name record, same state"
"Quality Plumbing and Building Contractors Pty Ltd","builder","NT","Alice Springs","none","","","no exact name in gs_entities"
"Remote Build (NT) Pty Ltd","builder","NT","Barkly Region","high","80606143364","AU-ABN-80606143364","one exact-name record, same state"
"GT Builders Pty Ltd","builder","NT","Katherine Region","high","70099008885","AU-ABN-70099008885","one exact-name record, same state"
"MG Electrical Services Pty Ltd","builder","NT","All Centres","high","13009625496","AU-ABN-13009625496","one exact-name record, same state"
"Deltareef Pty Ltd","builder","NT","Darwin","none","","","no exact name in gs_entities"
"Top End Resources Pty Ltd","builder","NT","Darwin Region","high","24627296306","AU-ABN-24627296306","one exact-name record, same state"
"GEBIE Civil and Construction Pty Ltd","builder","NT","Arnhem Region","high","31144955528","AU-ABN-31144955528","one exact-name record, same state"
"Probuild (NT) Pty Ltd","builder","NT","Darwin Region","check","37059042009","AU-ABN-37059042009","1 exact-name records, none in NT"
"United Air Conditioning and Mechanical Services Pty Ltd","builder","NT","Darwin Region","high","33151789070","AU-ABN-33151789070","one exact-name record, same state"
"Scott Hammet Building & Carpentry Pty Ltd","builder","NT","Katherine Region","none","","","no exact name in gs_entities"
"NTEX Pty Ltd","builder","NT","Darwin","none","","","no exact name in gs_entities"
"LP Airconditioning Pty Ltd","builder","NT","Darwin","high","29159023588","AU-ABN-29159023588","one exact-name record, same state"
"Remote Area Machinery Hire NT Pty Ltd","builder","NT","Alice Springs Region","high","91141465027","AU-ABN-91141465027","one exact-name record, same state"
"IBM Australia Limited","builder","NT","Darwin","check","79000024733","AU-ABN-79000024733","1 exact-name records, none in NT"
"REMOTE AREA MACHINERY HIRE","builder","NT","Alice Springs","none","","","no exact name in gs_entities"
"Morningside Electrical Contractors and Consultants Pty Ltd","builder","NT","East Arnhem Region","none","","","no exact name in gs_entities"
"Nilsen (NT) Pty Ltd","builder","NT","Darwin Region","none","","","no exact name in gs_entities"
"Honeywell Ltd","builder","NT","Darwin","check","18000383764","AU-ABN-18000383764","1 exact-name records, none in NT"
"DJ Air & Electrical Services Pty Ltd","builder","NT","Big Rivers Region","none","","","no exact name in gs_entities"
"NT Link Pty Ltd","builder","NT","All Centres","high","32009621014","AU-ABN-32009621014","one exact-name record, same state"
"Spears Construction (NT) Pty Ltd","builder","NT","Alice Springs","none","","","no exact name in gs_entities"
"Trustee for AA Essential Services Trust","builder","NT","Northern Region","none","","","no exact name in gs_entities"
"E-P-G Solutions Pty Ltd","builder","NT","Panel Contract for Repairs, Ma","high","71642204902","AU-ABN-71642204902","one exact-name record, same state"
"Zenco Constructions Pty Ltd","builder","NT","Nhulunbuy","high","24151445573","AU-ABN-24151445573","one exact-name record, same state"
"PTM Group Pty Ltd","builder","NT","All Centres","high","86067318058","AU-ABN-86067318058","one exact-name record, same state"
"Scope Building NT Pty Ltd","builder","NT","Alice Springs Region","high","35094719730","AU-ABN-35094719730","one exact-name record, same state"
"Emperor Refrigeration Pty Ltd","builder","NT","Alice Springs Region","high","93135374220","AU-ABN-93135374220","one exact-name record, same state"
"Harvey Developments (NT) Pty Ltd","builder","NT","Barkly Region","high","33142861612","AU-ABN-33142861612","one exact-name record, same state"
"Security & Technology Services (NT) Pty Ltd","builder","NT","Royal Darwin Hospital Campus","none","","","no exact name in gs_entities"
"Whatareya Pty Ltd","builder","NT","Alice Springs Region","high","82128309857","AU-ABN-82128309857","one exact-name record, same state"
"Regional Asset Maintenance Services Pty Ltd","builder","NT","Darwin Waterfront Precinct","none","","","no exact name in gs_entities"
"Power Projects NT (Pty Ltd)","builder","NT","Big Rivers Region","none","","","no exact name in gs_entities"
"DJC Build Pty Ltd","builder","NT","East Arnhem Region","high","39603131157","AU-ABN-39603131157","one exact-name record, same state"
"Defend Fire Services Pty Ltd","builder","NT","Darwin","high","94165236500","AU-ABN-94165236500","one exact-name record, same state"
"Hawkins and Clements Pty Ltd as Trustee for Hawkins and Clements Unit Trust","builder","NT","Northern Region","none","","","no exact name in gs_entities"
"Siemens Healthcare Pty Ltd","builder","NT","All Centres","check","86604853938","AU-ABN-86604853938","2 exact-name records, none in NT"
"Scatt's Plumbing Services Pty Ltd","builder","NT","Katherine","high","31116976071","AU-ABN-31116976071","one exact-name record, same state"
"Insight Oceania Quantum Healthcare Group Pty Ltd","builder","NT","Royal Darwin Hospital","none","","","no exact name in gs_entities"
"B & K Investments NT Pty Ltd","builder","NT","All Centres","none","","","no exact name in gs_entities"
"Harvey Developments NT Pty Ltd","builder","NT","Barkly Region","none","","","no exact name in gs_entities"
"Demountable Sales and Hire Pty Ltd","builder","NT","All Regions","none","","","no exact name in gs_entities"
"GK Painting Contractors Pty Limited","builder","NT","Barkly Region","none","","","no exact name in gs_entities"
"Damday Pty Ltd","builder","NT","Darwin","none","","","no exact name in gs_entities"
"Wilson Security Pty Ltd","builder","NT","Health House","check","90127406295","AU-ABN-90127406295","1 exact-name records, none in NT"
"Veolia Energy Technical Services Pty Ltd","builder","NT","Darwin Region","check","46064584587","AU-ABN-46064584587","1 exact-name records, none in NT"
"Micca Holdings Pty Ltd","builder","NT","Panel Contract for Repairs, Ma","none","","","no exact name in gs_entities"
"Suffren Contracting and Plant Hire Pty Ltd","builder","NT","Katherine Region","none","","","no exact name in gs_entities"
"Remote Area Machinery NT Hire Pty Ltd","builder","NT","Alice Springs","none","","","no exact name in gs_entities"
