"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG11A.1","2026-27","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","1.2","44.3","16.8","11.1","7.0","34.3","51.3","24.6"
"CtG11A.1","2026-27","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","5.7","17.5","15.1","9.9","1.5","30.9","28.7","2.9"
"CtG11A.1","2025-26","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","23.4"
"CtG11A.1","2025-26","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","2.8","42.7","20.6","12.6","7.0","32.3","47.9","24.6"
"CtG11A.1","2025-26","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","4.7","14.6","12.6","8.3","1.5","25.8","24.0","2.9"
"CtG11A.1","2024-25","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","24.1"
"CtG11A.1","2024-25","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","4.5","41.2","24.4","14.0","7.0","30.3","44.5","24.6"
"CtG11A.1","2024-25","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","3.8","11.8","10.2","6.7","1.5","20.9","19.4","2.9"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","18.6","7.3","41.1","28.1","17.0","8.3","28.6","36.2","26.1"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Rate per 10000 young people","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","0.8","0.7","1.6","1.0","0.8","2.2","2.0","1.1","1.0"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","114.9","10.1","209.8","58.4","16.2","5.1","4.2","41.7","460.4"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Number","Actual","Non-Indigenous young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","60.5","43.6","81.9","27.0","13.5","10.5","8.6","1.6","247.2"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Unknown Indigenous status","Young people in detention on an average day","Number","Actual","Unknown Indigenous status","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset","no.","0.8","0","0.4","0","0","0","0.1","0.4","1.6"
"CtG11A.1","2023","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in the population at 31 December","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","61953","13864","50989","20791","9491","6164","1485","11517","176288"
"CtG11A.1","2023","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in the population at 31 December","Number","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","760851","642448","525671","274271","166765","47899","42754","15484","2476577"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","24.8"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","6.1","39.6","28.1","15.5","7.0","28.3","41.0","24.6"
"CtG11A.1","2023-24","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","3.0","9.2","8.0","5.2","1.5","16.3","15.1","2.9"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.8","7.6","40.0","30.8","18.1","6.3","28.4","42.2","25.6"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Rate per 10000 young people","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","0.8","1.0","1.6","0.8","0.8","1.9","2.3","1.0","1.1"
