"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG11A.4","2021-22","Rate of young people in detention","10-13 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.3","0","2.5","2.5","0.3","0","0.3","0.6","6.5"
"CtG11A.4","2021-22","Rate of young people in detention","14-17 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","5.8","0.3","16.8","7.7","2.1","0","0.9","5.0","38.6"
"CtG11A.4","2021-22","Rate of young people in detention","18+ years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","0.4","1.5","0.6","0.5","0","0","0","0","3.0"
"CtG11A.4","2021-22","Rate of young people in detention","10-13 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","0.8","1.4","2.3","1.4","0.8","0.2","0.6","0.2","7.7"
"CtG11A.4","2021-22","Rate of young people in detention","14-17 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","61.6","59.6","77.0","18.5","12.1","3.7","5.5","1.6","239.6"
"CtG11A.4","2021-22","Rate of young people in detention","18+ years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","31.5","34.6","9.8","3.7","2.0","0.1","1.8","0","83.5"
"CtG11A.4","2021-22","Rate of young people in detention","10-13 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.5","0.1","0.2","0.3","0.1","0","0.2","0","1.4"
"CtG11A.4","2021-22","Rate of young people in detention","14-17 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","5.1","6.0","10.6","2.3","2.0","0.9","0.7","0.2","27.8"
"CtG11A.4","2021-22","Rate of young people in detention","18+ years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.0","0.8","0.4","1.5","0","0","0","0","3.7"
"CtG11A.4","2021-22","Rate of young people in detention","10-13 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2021-22","Rate of young people in detention","14-17 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","1.3","0","0","0","0","0","0","0.3","1.6"
"CtG11A.4","2021-22","Rate of young people in detention","18+ years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","18+ years old","","","AIHW Youth justice in Australia","no.","0.3","0","0","0","0","0","0","0","0.3"
"CtG11A.4","2021-22","Rate of young people in detention","10-13 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.6","0","0","0","0","0","0","0","0.6"
"CtG11A.4","2021-22","Rate of young people in detention","14-17 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","0.2","0","0","0","0","0","0","0.3","0.5"
"CtG11A.4","2021-22","Rate of young people in detention","18+ years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","18+ years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","3.0","0","12.8","4.3","1.0","0","0","2.0","23.1"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","54.7","10.4","116.9","61.3","10.3","3.4","1.9","25.8","284.7"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","18.1","8.3","9.4","6.7","1.3","0.2","0","0.1","44.1"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.3","0","2.6","1.4","0.3","0","0","0.1","4.7"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","4.8","0.7","12.0","7.0","3.1","0","0.7","2.6","30.9"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","2.2","0.3","1.1","0.1","0.2","0","0","0","3.9"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","1.3","1.5","3.3","1.0","0.4","0.5","0.2","0","8.2"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","77.2","81.5","64.3","19.4","8.4","3.4","4.3","1.3","259.8"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","32.4","50.8","5.3","2.9","1.4","1.1","1.4","0","95.3"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","1.4","0.3","0","0","0.3","0","0.1","0","2.1"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","7.3","7.0","8.9","1.7","1.5","0.6","0.8","0","27.8"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.6","1.9","0.6","0","0","0.1","0","0","4.2"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","0.1","0","0","0","0","0","0","0","0.1"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","0.9","0","0.1","0","0","0","0","0.4","1.4"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","18+ years old","","","AIHW Youth justice in Australia","no.","0.2","0","0.4","0","0","0","0","0","0.6"
"CtG11A.4","2020-21","Rate of young people in detention","10-13 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2020-21","Rate of young people in detention","14-17 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2020-21","Rate of young people in detention","18+ years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","18+ years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","3.1","0.6","12.9","5.5","1.5","0","0","1.1","24.7"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","78.9","14.1","108.7","62.3","12.3","4.8","4.2","20.3","305.6"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","23.8","9.0","11.9","4.7","1.9","0.7","0.1","0.2","52.3"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.9","0","2.7","1.3","1.1","0","0","0.2","6.2"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","8.8","1.8","13.9","6.4","3.3","0.1","0.7","1.7","36.7"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.6","0.5","0.6","0.2","0","0","0.2","0","3.1"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","1.2","0.4","2.4","2.2","0.8","0","0","0","7.0"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","90.5","93.5","43.6","22.8","13.3","8.2","6.3","0.6","278.8"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","35.6","54.8","8.3","2.9","1.5","0.5","1.5","0","105.1"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.3","0.2","1.1","0.4","0.3","0","0.7","0.1","3.1"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","7.9","7.9","5.0","2.8","2.1","0.8","2.5","0","29.0"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.6","2.1","0.9","0","0","0.2","0","0","4.8"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","1.4","0","0","0","0","0","0","0","1.4"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","18+ years old","","","AIHW Youth justice in Australia","no.","0.8","0","0","0","0","0","0","0","0.8"
"CtG11A.4","2019-20","Rate of young people in detention","10-13 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2019-20","Rate of young people in detention","14-17 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2019-20","Rate of young people in detention","18+ years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","18+ years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","4.3","0.4","16.7","10.9","1.7","0","0","1.5","35.5"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","91.1","14.2","130.7","75.8","17.1","4.5","1.5","31.0","365.9"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Males","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","25.8","12.5","9.1","9.5","2.4","0","0.5","0.1","59.9"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","1.6","0","2.3","1.6","0.6","0","0","0.2","6.3"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","9.4","4.1","22.0","7.8","2.1","0","0.2","2.4","48.0"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Females","Aboriginal and Torres Strait Islander people","Average daily number of young people in detention","","","Aboriginal and Torres Strait Islander young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.5","1.1","0.1","0.2","0","0","0.8","0","3.7"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","1.4","0.7","2.2","2.0","1.1","0.1","0.5","0","8.0"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","84.7","85.1","54.2","21.6","14.4","6.3","4.2","0.6","271.1"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Males","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Males","18+ years old","","","AIHW Youth justice in Australia","no.","34.2","64.2","6.4","4.6","0.8","0.1","1.0","0.2","111.5"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0.6","0.2","0.7","0.6","0.1","0.1","1.0","0","3.3"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","9.7","6.9","8.3","3.2","0.9","0.4","0.5","0","29.9"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Females","Non-Indigenous people","Average daily number of young people in detention","","","Non-Indigenous young people","Females","18+ years old","","","AIHW Youth justice in Australia","no.","1.7","1.8","0.8","0.5","0","0","0","0","4.8"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","14-17 years old","","","AIHW Youth justice in Australia","no.","1.6","0","0.1","0","0","0","0","0","1.7"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Males","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Males","18+ years old","","","AIHW Youth justice in Australia","no.","1.7","0","0","0","0","0","0","0","1.7"
"CtG11A.4","2018-19","Rate of young people in detention","10-13 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","10-13 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2018-19","Rate of young people in detention","14-17 years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","14-17 years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"CtG11A.4","2018-19","Rate of young people in detention","18+ years old","Females","Unknown Indigenous status","Average daily number of young people in detention","","","Unknown Indigenous status","Females","18+ years old","","","AIHW Youth justice in Australia","no.","0","0","0","0","0","0","0","0","0"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","June quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","81.4","63.9","85.1","55.7","68.1","60.9","100.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","March quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","83.0","55.6","86.9","64.3","68.3","71.5","100.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","December quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","81.0","88.5","83.7","59.8","62.1","57.1","100.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","September quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","76.5","96.9","86.8","66.9","72.2","63.3","100.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","June quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","82.5","70.9","92.3","44.0","46.7","77.4","97.3","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","March quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","82.0","67.3","91.8","48.6","60.4","75.8","86.5","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","December quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","83.2","77.4","93.7","55.5","64.0","87.1","79.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","September quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","81.1","90.5","93.6","56.5","48.4","85.1","74.6","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Unsentenced","June quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","104.3","5.1","182.1","29.3","12.5","3.4","4.6","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Unsentenced","March quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","93.0","6.5","188.7","35.5","11.6","3.8","3.9","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Unsentenced","December quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","90.6","8.7","162.5","30.7","7.4","2.3","4.5","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Unsentenced","September quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","74.8","9.6","172.3","37.5","10.7","2.7","3.7","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Unsentenced","June quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","55.6","25.0","72.5","12.4","6.5","9.6","6.4","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Unsentenced","March quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","46.5","26.9","82.8","12.5","9.4","7.6","9.0","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Unsentenced","December quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","46.3","32.8","73.9","16.5","8.0","7.4","8.1","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Unsentenced","September quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","43.4","47.1","72.4","13.2","5.5","7.2","4.9","na","na"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Sentanced and unsentanced","June quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","128.2","8.0","214.1","52.6","18.3","5.6","4.6","40.0","471.3"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Sentanced and unsentanced","March quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","112.1","11.7","217.2","55.3","17.0","5.4","3.9","37.7","460.2"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Sentanced and unsentanced","December quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","111.9","9.9","194.1","51.4","11.9","4.1","4.5","42.0","429.7"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Number","","Aboriginal and Torres Strait Islander young people","Sentanced and unsentanced","September quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","97.8","9.9","198.5","56.1","14.8","4.3","3.7","46.7","431.9"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Sentanced and unsentanced","June quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","67.4","35.2","78.5","28.2","14.0","12.4","6.5","3.1","245.4"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Sentanced and unsentanced","March quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","56.7","40.0","90.2","25.7","15.6","10.0","10.5","3.3","252.1"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Sentanced and unsentanced","December quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","55.6","42.4","78.8","29.8","12.5","8.5","10.2","3.0","240.8"
"SE11a.1","2023-24","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Number","","Non-Indigenous young people","Sentanced and unsentanced","September quarter","10-17 years old","","AIHW Youth detention population in Australia","no.","53.5","52.1","77.4","23.3","11.4","8.5","6.5","2.0","234.7"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","June quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","71.3","98.0","87.3","70.4","92.9","81.1","73.7","49.9","76.8"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","March quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","71.4","95.7","91.3","71.6","88.4","89.9","56.8","57.1","80.5"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","December quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","73.0","86.4","87.6","69.3","76.6","49.1","28.6","51.5","77.1"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average night","Proportion","","Aboriginal and Torres Strait Islander young people","Unsentenced","September quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","78.2","77.7","82.2","66.5","83.5","86.0","19.3","46.7","74.4"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","June quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","76.9","94.7","89.1","62.0","90.7","90.2","58.6","91.8","83.7"
"SE11a.1","2022-23","Unsentenced detention rates","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average night","Proportion","","Non-Indigenous young people","Unsentenced","March quarter","10-17 years old","","Derived from AIHW Youth detention population in Australia","%","78.7","90.1","93.8","57.9","99.7","82.0","55.6","0","84.6"
