"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Service_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","184","74","290","74","38","14","17","42","734"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","739","229","860","368","169","96","47","na","2509"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","918","300","1142","438","205","110","64","na","3177"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.2","1.1","5.0","2.5","2.1","2.6","5.0","15.4","2.7"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","8.9","3.4","14.8","12.3","9.5","17.8","14.0","na","9.4"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","11.0","4.5","19.6","14.6","11.5","20.4","18.8","na","11.9"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","176","54","293","85","31","16","13","44","711"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","723","217","896","429","215","79","54","na","2613"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","894","268","1181","511","243","94","67","na","3257"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.1","0.8","5.1","2.9","1.7","2.9","3.9","21.9","2.7"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","8.8","3.3","15.5","14.6","12.2","14.5","16.6","na","9.9"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","10.9","4.1","20.5","17.3","13.8","17.3","20.3","na","12.4"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","160","72","286","86","31","13","14","52","713"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","736","235","887","451","185","67","41","168","2770"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","891","304","1163","532","214","79","55","217","3455"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.0","1.1","5.1","3.0","1.8","2.4","3.2","19.4","2.7"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","9.1","3.7","15.7","15.7","10.7","12.4","9.6","62.6","10.7"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","11.0","4.8","20.6","18.5","12.4","14.7","12.7","81.1","13.3"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","147","78","269","105","31","8","10","52","700"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","817","288","917","386","151","58","39","102","2757"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","959","364","1176","486","179","66","48","152","3430"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","1.9","1.3","4.9","3.8","1.8","1.5","2.3","19.8","2.8"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","10.3","4.6","16.6","13.8","8.9","10.8","9.3","38.5","10.8"
"17A.1","2021-22","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","12.1","5.8","21.3","17.4","10.5","12.2","11.5","57.6","13.5"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","151","102","221","96","25","8","8","32","644"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","899","353","921","361","138","72","49","71","2864"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1044","451","1133","454","162","80","56","102","3482"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","1.9","1.7","4.1","3.5","1.5","1.5","1.9","12.2","2.6"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","11.5","5.7","17.1","13.2","8.2","13.7","11.8","26.8","11.5"
"17A.1","2020-21","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","13.3","7.3","21.0","16.6","9.7","15.2","13.6","38.7","13.9"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","193","119","190","104","35","14","14","24","692"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","943","439","1086","500","169","101","50","107","3395"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1129","552","1267","599","202","114","63","131","4058"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.5","2.0","3.6","3.9","2.1","2.7","3.6","9.2","2.8"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","12.2","7.2","20.6","18.9","10.2","19.4","12.5","41.3","13.8"
"17A.1","2019-20","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","14.7","9.1","24.0","22.6","12.2","22.0","15.9","50.2","16.5"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","204","111","236","124","38","12","8","36","769"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","979","481","1266","549","156","109","55","108","3703"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1177","589","1493","668","193","120","62","142","4444"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.7","1.9","4.6","4.8","2.3","2.2","2.0","13.8","3.2"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","12.9","8.1","24.5","21.3","9.6","21.2","14.2","41.7","15.4"
"17A.1","2018-19","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","15.5","9.9","28.9","25.9","11.9","23.4","16.0","55.0","18.5"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","230","119","207","136","43","10","12","40","797"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","954","508","1239","548","181","94","75","101","3700"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1178","624","1436","679","223","104","86","139","4470"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.1","2.0","4.1","5.4","2.7","1.9","3.2","15.5","3.4"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","12.8","8.7","24.5","21.7","11.3","18.7","20.0","39.5","15.7"
"17A.1","2017-18","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","15.8","10.7","28.4","26.9","13.9","20.5","23.0","54.5","18.9"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","217","113","181","130","47","9","9","39","744"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","987","525","1101","551","216","77","54","115","3626"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1198","634","1274","675","261","86","63","152","4343"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.0","2.0","3.6","5.2","3.0","1.8","2.4","15.3","3.2"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","13.4","9.2","22.2","22.2","13.6","15.3","15.0","45.6","15.6"
"17A.1","2016-17","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","16.3","11.1","25.7","27.3","16.4","17.1","17.3","60.3","18.7"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","227","95","187","124","50","7","6","50","746"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1091","585","1120","561","210","77","56","103","3803"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1311","676","1300","680","258","84","62","152","4524"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.1","1.7","3.9","5.1","3.2","1.4","1.6","20.1","3.3"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","15.0","10.4","23.0","22.9","13.3","15.4","15.9","40.8","16.6"
"17A.1","2015-16","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","18.1","12.1","26.8","27.8","16.3","16.8","17.4","60.5","19.8"
"17A.2","2024-25","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","344","205","364","263","80","24","40","90","1410"
"17A.2","2024-25","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","227.4","127.0","284.9","70.3","39.5","15.4","19.1","36.9","820.5"
"17A.2","2024-25","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","66.1","61.9","78.3","26.7","49.3","64.3","47.9","41.0","58.2"
"17A.2","2023-24","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","344","249","288","263","84","24","40","95","1387"
"17A.2","2023-24","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","212.9","91.6","286.8","82.5","32.1","15.9","15.8","51.5","789.0"
"17A.2","2023-24","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","61.9","36.7","99.6","31.4","38.2","66.3","39.5","54.2","56.9"
"17A.2","2022-23","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","370","276","288","263","84","24","28","90","1423"
"17A.2","2022-23","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","195.2","108.1","283.2","93.8","31.3","13.2","17.1","49.0","791.0"
"17A.2","2022-23","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","52.8","39.2","98.3","35.7","37.2","55.2","61.0","54.4","55.6"
"17A.2","2021-22","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","370","276","288","215","84","24","28","88","1373"
"17A.2","2021-22","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","186.6","120.8","276.0","113.5","31.7","9.0","11.5","50.9","800.0"
"17A.2","2021-22","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","50.4","43.8","95.8","52.8","37.7","37.4","41.1","57.8","58.3"
"17A.2","2020-21","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","375","276","270","215","84","24","28","63","1335"
"17A.2","2020-21","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","201.2","163.4","229.1","102.3","26.0","9.2","8.9","31.4","771.5"
"17A.2","2020-21","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","53.7","59.2","84.8","47.6","31.0","38.3","31.7","49.9","57.8"
"17A.2","2019-20","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","355","260","244","215","84","24","28","63","1273"
"17A.2","2019-20","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","251.6","185.6","200.6","106.9","34.6","15.4","15.4","24.2","834.2"
"17A.2","2019-20","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","70.9","71.4","82.2","49.7","41.1","64.3","54.9","38.4","65.5"
"17A.2","2018-19","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","355","260","240","215","84","24","28","64","1270"
"17A.2","2018-19","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","264.5","191.0","213.2","133.8","39.2","11.5","10.9","35.0","899.1"
"17A.2","2018-19","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","74.5","73.5","88.8","62.2","46.7","47.7","39.1","54.7","70.8"
"17A.2","2017-18","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","355","260","212","227","84","24","28","63","1253"
"17A.2","2017-18","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","286.0","203.1","200.9","148.4","44.4","11.4","14.7","39.1","947.8"
"17A.2","2017-18","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","80.6","78.1","94.7","65.4","52.8","47.3","52.6","62.0","75.6"
"17A.2","2016-17","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","355","260","212","227","84","24","28","91","1281"
"17A.2","2016-17","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","272.6","190.0","178.1","141.9","48.3","10.7","10.8","37.3","889.8"
"17A.2","2016-17","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","76.8","73.1","84.0","62.5","57.5","44.6","38.5","41.0","69.5"
"17A.2","2015-16","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Number of permanently funded beds","Detention","","","","State and territory governments (unpublished)","no.","374","258","212","227","84","24","40","71","1290"
"17A.2","2015-16","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Total average nightly population","Detention","","","","Derived from State and territory governments (unpublished)","no.","292.8","167.9","184.5","133.7","53.9","9.2","8.3","48.9","899.0"
"17A.2","2015-16","Centre utilisation","Young people","All people","All people","All areas","Detention-based supervision","","","Centre utilisation rate","Detention","","","","Derived from State and territory governments (unpublished)","%","78.4","65.1","87.0","58.9","64.2","38.2","20.7","68.8","69.7"
"17A.3","2024-25","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","170","71","248","67","32","12","15","39","654"
"17A.3","2024-25","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","14","3","42","7","6","3","2","3","80"
"17A.3","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","184","74","290","74","38","14","17","42","734"
"17A.3","2024-25","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","4.0","2.1","8.3","4.3","3.5","4.2","8.7","27.6","4.8"
"17A.3","2024-25","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","0.4","0.1","1.5","0.5","0.7","1.0","1.2","2.2","0.6"
"17A.3","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.2","1.1","5.0","2.5","2.1","2.6","5.0","15.4","2.7"
"17A.3","2023-24","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","162","52","255","77","24","12","12","40","633"
"17A.3","2023-24","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","14","2","38","9","7","4","1","3","78"
"17A.3","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","176","54","293","85","31","16","13","44","711"
"17A.3","2023-24","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.8","1.5","8.6","5.1","2.6","4.3","6.8","39.0","4.7"
"17A.3","2023-24","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","0.4","0.1","1.4","0.6","0.8","1.4","0.8","3.4","0.6"
"17A.3","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.1","0.8","5.1","2.9","1.7","2.9","3.9","21.9","2.7"
"17A.3","2022-23","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","149","67","250","78","25","11","11","44","634"
"17A.3","2022-23","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","11","5","36","9","6","2","3","7","79"
"17A.3","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","160","72","286","86","31","13","14","52","713"
"17A.3","2022-23","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.6","2.0","8.6","5.2","2.8","3.8","5.0","32.2","4.7"
"17A.3","2022-23","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","0.3","0.2","1.3","0.6","0.8","0.9","1.3","5.7","0.6"
"17A.3","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.0","1.1","5.1","3.0","1.8","2.4","3.2","19.4","2.7"
"17A.3","2021-22","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","135","72","239","92","26","7","8","46","625"
"17A.3","2021-22","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","12","6","30","13","4","1","2","6","75"
"17A.3","2021-22","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","147","78","269","105","31","8","10","52","700"
"17A.3","2021-22","Under supervision","10-17 years old","Males","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.3","2.2","8.4","6.4","3.0","2.6","3.5","33.7","4.8"
"17A.3","2021-22","Under supervision","10-17 years old","Females","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","0.3","0.2","1.1","0.9","0.5","0.4","1.0","4.9","0.6"
