"Table_Number","Year","Measure","Indigenous_Status","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","37983","15272","7115","8896","4451","799","2234","853","..","77603"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","District/county","2023-24 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","15337","10638","3897","9802","2163","..","..","..","..","41837"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18772","14407","5255","7294","2985","525","1580","24","..","50843"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Children's","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","74","0","37","66","18","0","..","2","..","197"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18846","14407","5292","7360","3003","525","1580","27","..","51040"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Federal Court of Australia","2023-24 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","18538","18538"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Family","2023-24 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7926","..","..","..","..","..","7926"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2023-24 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","72478","72478"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Coroners'","2023-24 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","276","0","361","93","44","1","73","11","..","860"
"7A.13","2021-22","Recurrent expenditure","All people","Civil","Supreme (probate only)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","56189","12189","10835","3386","15165","3309","2124","342","..","103539"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","All criminal courts","2023-24 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","14208","0","1616","10372","2185","744","368","453","..","29947"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","Supreme","2023-24 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","167","0","101","76","634","0","47","380","..","1407"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","District/county","2023-24 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","3929","0","229","153","805","..","..","..","..","5115"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10057","0","1175","10110","733","744","321","65","..","23205"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","Children's","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","56","0","111","33","14","0","0","7","..","220"
"7A.13","2020-21","Recurrent expenditure","All people","Criminal","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10112","0","1286","10143","746","744","321","73","..","23425"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2023-24 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","76721","37148","15342","22364","8651","1477","4010","834","..","166547"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","37385","14092","6997","6891","3747","1001","2511","803","..","73428"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","District/county","2023-24 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16015","10361","3390","8748","2090","..","..","..","..","40605"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23260","12694","4915","6650","2804","476","1499","28","..","52326"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Children's","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","61","0","40","75","10","0","0","3","..","189"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23321","12694","4955","6724","2814","476","1499","31","..","52514"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Federal Court of Australia","2023-24 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","20647","20647"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Family","2023-24 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","8333","..","..","..","..","..","8333"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2023-24 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","77997","77997"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Coroners'","2023-24 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","116","0","413","35","38","1","72","23","..","699"
"7A.13","2020-21","Recurrent expenditure","All people","Civil","Supreme (probate only)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","50166","10459","9348","3305","13916","2676","2002","341","..","92213"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","All criminal courts","2023-24 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","21661","0","1600","9967","2118","869","542","378","..","37134"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","Supreme","2023-24 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","117","0","101","86","542","0","99","309","..","1254"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","District/county","2023-24 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","5159","0","246","206","581","..","..","..","..","6192"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16368","0","1148","9643","984","868","443","62","..","29516"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","Children's","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","17","0","104","33","11","1","0","7","..","172"
"7A.13","2019-20","Recurrent expenditure","All people","Criminal","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16385","0","1252","9675","995","869","443","69","..","29688"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2023-24 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","85480","52025","19176","26574","10622","2186","4046","809","..","200918"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","40874","17861","8164","8844","4346","1261","2388","779","..","84517"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","District/county","2023-24 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16776","11587","4694","8706","2295","..","..","..","..","44058"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27811","22578","6280","8981","3972","925","1658","27","..","72231"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Children's","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","19","0","38","43","10","0","0","3","..","112"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27830","22578","6318","9024","3982","925","1658","30","..","72342"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Federal Court of Australia","2023-24 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","20406","20406"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Family","2023-24 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7824","..","..","..","..","..","7824"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2023-24 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","74696","74696"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Coroners'","2023-24 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10","0","432","100","33","1","86","21","..","682"
"7A.13","2019-20","Recurrent expenditure","All people","Civil","Supreme (probate only)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","50052","10351","9596","3269","14495","2699","2038","365","..","92864"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","All criminal courts","2023-24 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","20956","0","1793","10119","2261","987","487","485","..","37087"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","Supreme","2023-24 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","347","0","111","143","631","0","59","373","..","1662"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","District/county","2023-24 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4219","0","262","218","739","..","..","..","..","5438"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16378","0","1299","9714","877","987","428","101","..","29784"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","Children's","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","13","0","121","44","14","0","0","11","..","203"
"7A.13","2018-19","Recurrent expenditure","All people","Criminal","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16391","0","1420","9758","891","987","428","113","..","29987"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2023-24 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","87744","55102","22650","28632","12849","2436","4710","971","..","215096"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","36902","16913","8811","10095","5030","1363","2686","923","..","82724"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","District/county","2023-24 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","17277","12101","5752","8105","2658","..","..","..","..","45893"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","33549","26088","7965","10397","5150","1074","2024","44","..","86292"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Children's","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16","0","121","35","11","0","0","4","..","187"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","33565","26088","8086","10432","5161","1074","2024","48","..","86479"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Federal Court of Australia","2023-24 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","24937","24937"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Family","2023-24 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7983","..","..","..","..","..","7983"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2023-24 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","77365","77365"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Coroners'","2023-24 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","9","0","381","97","38","1","76","26","..","628"
"7A.13","2018-19","Recurrent expenditure","All people","Civil","Supreme (probate only)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","49726","9413","9191","3255","13560","2357","1712","338","..","89551"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","All criminal courts","2023-24 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","20655","0","1781","9953","2420","1099","552","984","..","37444"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","Supreme","2023-24 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","306","0","98","145","634","0","42","436","..","1661"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","District/county","2023-24 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4196","0","209","202","809","..","..","..","..","5416"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16146","0","1362","9551","962","1098","511","498","..","30129"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","Children's","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","6","0","113","55","15","1","0","50","..","239"
"7A.13","2017-18","Recurrent expenditure","All people","Criminal","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16152","0","1475","9606","976","1099","511","548","..","30367"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2023-24 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","86904","53754","22902","26086","14025","2314","4364","1127","..","211476"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","37633","15088","8860","9265","5202","1127","2337","869","..","80381"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","District/county","2023-24 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18250","12438","5950","7488","2473","..","..","..","..","46599"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","31014","26229","8064","9299","6337","1186","2027","238","..","84395"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Children's","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","6","0","29","34","13","0","0","20","..","102"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","31020","26229","8093","9333","6350","1186","2027","258","..","84496"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Federal Court of Australia","2023-24 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","23365","23365"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Family","2023-24 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7713","..","..","..","..","..","7713"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2023-24 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","78525","78525"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Coroners'","2023-24 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","5","0","491","139","30","7","74","23","..","769"
"7A.13","2017-18","Recurrent expenditure","All people","Civil","Supreme (probate only)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","49112","10026","9077","3094","12992","2549","1862","359","..","89071"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","All criminal courts","2023-24 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","22814","0","2048","10083","2739","1070","659","752","..","40164"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","Supreme","2023-24 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","223","0","127","163","651","0","46","652","..","1863"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","District/county","2023-24 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4556","0","353","225","875","..","..","..","..","6009"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","Magistrates' (excl. children's)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18002","0","1397","9639","1196","1070","613","88","..","32005"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","Children's","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","33","0","171","55","16","0","0","12","..","288"
"7A.13","2016-17","Recurrent expenditure","All people","Criminal","Magistrates' (total)","2023-24 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18035","0","1568","9694","1213","1070","613","100","..","32292"
"7A.13","2016-17","Recurrent expenditure","All people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2023-24 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","89568","56764","25263","28051","13888","2006","4387","1124","..","221052"
"7A.13","2016-17","Recurrent expenditure","All people","Civil","Supreme (excl. probate)","2023-24 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","36711","14570","9233","9816","5123","970","2231","1006","..","79660"
