"Table_Number","Year","Measure","Indigenous_Status","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.2","2022-23","Lodgments","All people","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","547","320","166","119","105","56","53","84","..","1450"
"7A.2","2022-23","Lodgments","All people","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7457","5732","3203","1726","875","652","569","205","..","20419"
"7A.2","2022-23","Lodgments","All people","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Total","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","8004","6052","3369","1845","980","708","622","289","..","21869"
"7A.2","2022-23","Lodgments","All people","Civil","District/county","","Lodgments; civil","","District/county courts","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","53","6","76","55","45","..","..","..","..","235"
"7A.2","2022-23","Lodgments","All people","Civil","District/county","","Lodgments; civil","","District/county courts","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6369","6726","3867","6516","1041","..","..","..","..","24519"
"7A.2","2022-23","Lodgments","All people","Civil","District/county","","Lodgments; civil","","District/county courts","","Total","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6422","6732","3943","6571","1086","..","..","..","..","24754"
"7A.2","2022-23","Lodgments","All people","Civil","Magistrates' (excl. children's)","","Lodgments; civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","110064","87731","50996","36979","15198","5534","3356","5439","..","315297"
"7A.2","2022-23","Lodgments","All people","Civil","Children's","","Lodgments; civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","9899","7805","6149","2335","1475","155","172","319","..","28309"
"7A.2","2022-23","Lodgments","All people","Civil","Magistrates' (total)","","Lodgments; civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","119963","95536","57145","39314","16673","5689","3528","5758","..","343606"
"7A.2","2022-23","Lodgments","All people","Civil","Federal Court of Australia","","Lodgments; civil","","Federal Court of Australia","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","522","522"
