"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","CS_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1533645","1050837","1062102","830932","290811","135991","87810","226020","5218150"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","94642","31763","18589","29036","11510","3627","0","12904","202071"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Open","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","319115","99770","51876","148174","19384","3275","622","na","642216"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Secure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1119889","919303","991637","653723","259917","129089","87188","na","4160747"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Total","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1439004","1019073","1043514","801896","279302","132364","87810","213116","5016079"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Land","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23144","16708","16084","6503","15807","381","655","264","79545"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Other assets","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","403010","157041","212656","126347","64658","24651","14504","7427","1010294"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Debt servicing fees","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23310","58642","0","19137","..","..","0","47270","148359"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Depreciation","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","205165","119553","154377","43041","32137","10512","11347","14752","590883"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Total capital costs","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","654629","351944","383117","195027","112601","35544","26506","69713","1829082"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","2093633","1371018","1426631","996924","391903","167908","114316","282829","6845161"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Transport and escort services","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","44576","28253","57038","33825","9442","na","2917","1853","177904"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Health expenditure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","207553","166665","26261","61450","27397","15622","0","623","505571"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Payroll tax","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","54137","30667","0","0","7783","..","0","5817","98404"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","284979","214344","172620","83689","61062","21025","23545","37395","898660"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","802","0","26","706","2298","0","0","138","3969"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Net operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","284177","214344","172595","82984","58764","21025","23545","37257","894691"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","13100","13604","2708","1978","2833","385","0","124","34733"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","297277","227948","175303","84961","61598","21410","23545","37382","929423"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Payroll tax","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","13344","9383","0","0","2243","..","0","951","25921"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1569501","1051975","967657","819011","294550","128929","80851","197956","5110429"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","139352","37202","19292","28186","12339","3740","0","17194","257304"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Open","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","320764","96903","51014","145342","19898","2652","620","na","637194"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Secure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1109385","917871","897350","645483","262314","122537","80231","na","4035170"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Total","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1430149","1014774","948365","790825","282211","125189","80851","180762","4853125"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Land","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23110","17513","16724","7526","16569","371","561","226","82600"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Other assets","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","412572","148526","214218","137956","67871","25390","14681","7674","1028888"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Debt servicing fees","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27265","62792","0","20221","..","..","0","50238","160515"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Depreciation","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","205786","113713","152402","43702","22107","9553","11043","14407","572713"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Total capital costs","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","668734","342543","383344","209404","106547","35314","26285","72545","1844716"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","2098883","1357317","1331709","1000229","388758","160503","107135","253307","6697841"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Transport and escort services","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","42548","28791","54037","29716","7568","na","3070","1362","167091"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Health expenditure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","204459","165418","22648","64521","26302","15527","0","440","499313"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Payroll tax","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","52119","27625","..","..","7775","..","..","5425","92943"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","268194","205158","162687","85287","64588","20891","24912","32730","864446"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","0","0","25","200","2552","0","0","110","2887"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Net operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","268194","205158","162662","85087","62036","20891","24912","32620","861559"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","8573","15611","3727","1986","2804","351","0","234","33285"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","276767","220769","166390","87073","64840","21242","24912","32854","894845"
"8A.1","2022-23","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Payroll tax","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","12318","8168","..","..","2316","..","..","895","23697"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1556792","1149262","942477","787121","288465","114594","81441","177930","5098081"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","121590","42434","17723","26818","13253","3467","0","9815","235100"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Open","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","327002","99823","49054","140418","18411","3058","435","na","638200"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Secure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1108201","1007005","875700","619885","256801","108069","81006","na","4056666"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Total","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1435202","1106828","924754","760303","275212","111127","81441","168115","4862982"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Land","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","22151","18318","16945","6319","13230","367","587","289","78207"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Other assets","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","420826","149581","227127","117988","59163","25078","15416","8246","1023425"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Debt servicing fees","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","35027","67358","0","21469","0","..","0","53207","177061"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Depreciation","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","200873","114227","145592","42515","22465","7611","8656","15904","557843"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Total capital costs","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","678877","349485","389664","188291","94859","33055","24659","77647","1836535"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","2114079","1456312","1314417","948594","370071","144183","106099","245762","6699517"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Transport and escort services","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","39543","29821","54437","30295","7989","na","3443","1287","166814"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Health expenditure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","203896","181112","24210","62247","25422","14137","0","263","511287"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Other operating expenditure","Payroll tax","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","45415","26427","..","..","7711","..","..","4978","84531"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","262873","247474","155883","81274","62989","19700","23623","30194","884011"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","144","0","23","333","2603","0","0","82","3186"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Net operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","262729","247474","155860","80941","60386","19700","23623","30112","880824"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","8676","21675","3507","1959","2678","168","0","175","38838"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Total net operating expenditure and capital costs","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","271405","269149","159366","82900","63064","19868","23623","30287","919662"
"8A.1","2021-22","Real recurrent expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real recurrent expenditure","Community corrections","Payroll tax","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10477","7891","..","..","2321","..","..","963","21652"
"8A.2","2023-24","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1439004","1019073","1043514","801896","279302","132364","87810","213116","5016079"
"8A.2","2023-24","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","284177","214344","172595","82984","58764","21025","23545","37257","894691"
"8A.2","2023-24","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1723180","1233417","1216109","884880","338066","153389","111356","250373","5910770"
"8A.2","2023-24","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1936719","1358884","1372053","929743","371336","164133","122702","265241","6520811"
"8A.2","2022-23","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1430149","1014774","948365","790825","282211","125189","80851","180762","4853125"
"8A.2","2022-23","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","268194","205158","162662","85087","62036","20891","24912","32620","861559"
"8A.2","2022-23","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1698343","1219931","1111027","875912","344247","146080","105762","213382","5714684"
"8A.2","2022-23","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1908380","1342126","1265841","921423","367292","155805","116805","227915","6305587"
"8A.2","2021-22","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1435202","1106828","924754","760303","275212","111127","81441","168115","4862982"
"8A.2","2021-22","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","262729","247474","155860","80941","60386","19700","23623","30112","880824"
"8A.2","2021-22","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1697931","1354302","1080613","841244","335598","130827","105064","198227","5743806"
"8A.2","2021-22","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1903654","1482969","1228381","885562","359034","138546","113720","214186","6326052"
"8A.2","2020-21","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1365452","1111118","809151","780242","276480","101545","76122","168653","4688764"
"8A.2","2020-21","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","239330","247278","146944","82517","62023","18745","20987","32164","849988"
"8A.2","2020-21","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1604782","1358397","956096","862758","338502","120290","97109","200817","5538752"
"8A.2","2020-21","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1805501","1521931","1099131","909979","363255","126347","105445","216378","6147968"
"8A.2","2019-20","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1230267","1072091","763229","750380","280980","92660","77816","165063","4432486"
"8A.2","2019-20","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","273637","238330","143789","82568","58916","18414","19690","30446","865792"
"8A.2","2019-20","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1503904","1310422","907018","832949","339896","111074","97506","195509","5298278"
"8A.2","2019-20","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1645580","1441295","1046852","876651","365938","116890","105571","212974","5811750"
"8A.2","2018-19","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1131647","1086049","716833","700185","300620","86575","61808","153294","4237011"
"8A.2","2018-19","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","263708","228581","130808","71859","62666","17780","19634","27781","822818"
"8A.2","2018-19","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1395356","1314630","847640","772044","363286","104356","81442","181075","5059829"
"8A.2","2018-19","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1533162","1430506","982836","814122","388438","110260","88198","196832","5544355"
"8A.2","2017-18","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1057451","1021901","681218","710116","303770","81369","69269","152182","4077276"
"8A.2","2017-18","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","186192","205117","120899","77290","54363","13512","17494","28301","703168"
"8A.2","2017-18","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1243643","1227018","802117","787406","358133","94881","86763","180483","4780444"
"8A.2","2017-18","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1363000","1331964","969108","829797","382756","100864","93521","196133","5267144"
"8A.2","2016-17","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","988260","921648","658094","679331","278126","75374","62277","148251","3811360"
"8A.2","2016-17","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","177267","179743","108038","87027","46564","11341","15798","26081","651858"
"8A.2","2016-17","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1165526","1101391","766132","766357","324689","86715","78075","174332","4463218"
"8A.2","2016-17","Real net operating expenditure","Adults","All people","All people","Prisons and community corrections","2023-24 dollars","Real net operating expenditure","Total prisons and community corrections plus depreciation","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1272990","1189008","929662","809995","348695","92724","87634","189831","4920539"
"8A.2","2015-16","Real net operating expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real net operating expenditure","Prisons","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","916260","816951","594600","653431","250165","72880","60127","147571","3511986"
"8A.2","2015-16","Real net operating expenditure","Adults","All people","All people","Community correction","2023-24 dollars","Real net operating expenditure","Community Corrections","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","168281","153933","101913","85399","47894","11294","15273","24714","608701"
