recipient_name,programme,amount,table,agency
The Preston Campbell Foundation Limited,1.1 - Jobs Land and the Economy,1184.32,varied_grants,NIAA
The Rumbalara Football Netball Club Inc.,1.3 - Safety and Wellbeing,128368.80,varied_grants,NIAA
The Victorian Aboriginal Health Service Co-Operative Limited,1.3 - Safety and Wellbeing,236927.84,varied_grants,NIAA
Tiwi Training & Employment Pty Ltd,1.1 - Jobs Land and the Economy,2414521.07,varied_grants,NIAA
Tjuwanpa Outstation Resource Centre (Aboriginal Corporation),1.1 - Jobs Land and the Economy,1221436.74,varied_grants,NIAA
Torres and Cape Hospital and Health Service,1.3 - Safety and Wellbeing,118460.72,varied_grants,NIAA
Torres Strait Island Regional Council,1.3 - Safety and Wellbeing,748398.00,varied_grants,NIAA
Townsville Aboriginal and Torres Strait Islander Corporation For Health Services,1.3 - Safety and Wellbeing,669628.04,varied_grants,NIAA
Tracqs Pty Ltd,1.1 - Jobs Land and the Economy,3038600.29,varied_grants,NIAA
Tullawon Health Service Incorporated,1.3 - Safety and Wellbeing,70000.00,varied_grants,NIAA
Tumut Regional Family Services Incorporated,1.3 - Safety and Wellbeing,379359.20,varied_grants,NIAA
Umeewarra Aboriginal Media Assn Inc,1.4 - Culture and Capability,1124575.83,varied_grants,NIAA
Umoona Tjutagku Health Service Aboriginal Corporation,1.3 - Safety and Wellbeing,236934.24,varied_grants,NIAA
Urapunga Aboriginal Corporation,Aboriginals Benefit Account,36589.26,varied_grants,NIAA
Urapuntja Health Service Aboriginal Corporation,1.3 - Safety and Wellbeing,684249.60,varied_grants,NIAA
Victoria Daly Regional Council,1.1 - Jobs Land and the Economy,1910381.68,varied_grants,NIAA
Victorian Aboriginal Community Services Association Limited,1.4 - Culture and Capability,70500.00,varied_grants,NIAA
Voyages Indigenous Tourism Australia Pty Ltd,1.1 - Jobs Land and the Economy,64137.75,varied_grants,NIAA
WA Country Health Service,1.3 - Safety and Wellbeing,674700.00,varied_grants,NIAA
Waalitj Foundation Limited,1.1 - Jobs Land and the Economy,3000000.00,varied_grants,NIAA
Waalitj Foundation Limited,1.1 - Jobs Land and the Economy,1002824.30,varied_grants,NIAA
Waalitj Foundation Limited,1.1 - Jobs Land and the Economy,6522.67,varied_grants,NIAA
Walgett Aboriginal Medical Service Ltd.,1.3 - Safety and Wellbeing,685950.66,varied_grants,NIAA
Walgett Aboriginal Medical Service Ltd.,1.3 - Safety and Wellbeing,450668.16,varied_grants,NIAA
Walgett Aboriginal Medical Service Ltd.,1.3 - Safety and Wellbeing,473864.24,varied_grants,NIAA
Wandiyali,1.3 - Safety and Wellbeing,698088.33,varied_grants,NIAA
Warlpiri Media Aboriginal Corporation,1.4 - Culture and Capability,2552378.28,varied_grants,NIAA
Warmun Community (Turkey Creek) Inc,1.3 - Safety and Wellbeing,396788.30,varied_grants,NIAA
West Arnhem Regional Council,1.4 - Culture and Capability,342124.80,varied_grants,NIAA
West Daly Regional Council,1.3 - Safety and Wellbeing,4059051.00,varied_grants,NIAA
Western Australian Police and Community Youth Centres (Inc),1.3 - Safety and Wellbeing,491804.40,varied_grants,NIAA
Wiltja Constructions Pty Ltd,1.5 - Remote Australia Strategies,14000.00,varied_grants,NIAA
"Women'S Alcohol and Drug Advisory Centre Incorporated",1.3 - Safety and Wellbeing,845295.30,varied_grants,NIAA
Worldview Foundation Limited,1.1 - Jobs Land and the Economy,6912.49,varied_grants,NIAA
Worn Gundidj Aboriginal Co-Operative Ltd,1.3 - Safety and Wellbeing,498009.68,varied_grants,NIAA
Wuchopperen Health Service Limited,1.3 - Safety and Wellbeing,400803.48,varied_grants,NIAA
Wunan Foundation Inc.,1.4 - Culture and Capability,962226.00,varied_grants,NIAA
Wungening Aboriginal Corporation,1.3 - Safety and Wellbeing,458115.80,varied_grants,NIAA
Wurli-Wurlinjang Aboriginal Corporation,1.3 - Safety and Wellbeing,2335803.60,varied_grants,NIAA
Wurli-Wurlinjang Aboriginal Corporation,1.3 - Safety and Wellbeing,1081294.05,varied_grants,NIAA
Wurli-Wurlinjang Aboriginal Corporation,1.3 - Safety and Wellbeing,1184720.44,varied_grants,NIAA
Wuthathi Aboriginal Corporation RNTBC,1.1 - Jobs Land and the Economy,2382261.00,varied_grants,NIAA
Yaandina Community Services Limited,1.3 - Safety and Wellbeing,2213119.80,varied_grants,NIAA
Yaandina Community Services Limited,1.3 - Safety and Wellbeing,320742.00,varied_grants,NIAA
Yagbani Aboriginal Corporation,1.1 - Jobs Land and the Economy,640903.31,varied_grants,NIAA
Yalagan Group Pty Ltd,1.1 - Jobs Land and the Economy,864.26,varied_grants,NIAA
Yalata Anangu Aboriginal Corporation,1.5 - Remote Australia Strategies,673558.20,varied_grants,NIAA
Yoowinna Wurnalung Aboriginal Healing Service Limited,1.4 - Culture and Capability,106914.00,varied_grants,NIAA
Yulella Aboriginal Corporation,1.1 - Jobs Land and the Economy,899486.38,varied_grants,NIAA
Yura and Udnyu Pty Ltd,1.4 - Culture and Capability,40000.00,varied_grants,NIAA
Running Water Community Press Co-operative Limited,Community Quick Response Grant,9937.00,new_grants,AINT
Pioneer Football and Community Club,Community Quick Response Grant,9769.00,new_grants,AINT
EON Aboriginal Corporation,Community Quick Response Grant,8828.00,new_grants,AINT
Tiwi Bombers Football Club Incorporated,Community Quick Response Grant,10000.00,new_grants,AINT
APN CAPE YORK,ILSC Landholding to Grant,48993.75,new_grants,ILSC
DANILA DILBA BILURU BUTJI BINNILUTLUM HEALTH SERVICES,ILSC Our Country Our Future,1499650.00,new_grants,ILSC
GIRRINGUN ABORIGINAL CORPORATION,ILSC Our Country Our Future,499444.35,new_grants,ILSC
GIRRINGUN ABORIGINAL CORPORATION,ILSC Disaster Recovery Quick Response Grant,19962.48,new_grants,ILSC
KARAJARRI TRADITIONAL LANDS ASSOCIATION ABORIGINAL CORPORATION,ILSC Landholding to Grant,13504.00,new_grants,ILSC
The trustee for GELGANYEM TRUST,ILSC Our Country Our Future,4000.00,new_grants,ILSC
TRIBAL WARRIOR ABORIGINAL CORPORATION,ILSC Our Country Our Future,213430.00,new_grants,ILSC
WIRADJURI CONDOBOLIN CORPORATION LIMITED,ILSC Our Country Our Future,554410.00,new_grants,ILSC
Marthakal Homelands Resource Centre Inc (IRP Marthakal IPA),Indigenous Ranger Program,712792.00,new_grants,NLC
Department of Tourism and Sport (Department of Sport Racing and Olympic and Paralympic Games),Healthy Communities,200000.00,new_grants,TSRA
